update,actual_S3_commit_hash,actual_target,common_policy_commit_hash,common_target,same_or_different,difference_classification,actual_vote_gain,actual_vote_gain_count,actual_vote_loss_count,actual_target_gain,actual_lane_delta,actual_support,actual_coalition,actual_bootstrap,actual_edit,counterfactual_vote_gain,counterfactual_vote_gain_count,counterfactual_vote_loss_count,counterfactual_target_gain,counterfactual_minimum_gain_delta,counterfactual_total_gain_delta,counterfactual_soft_vote_delta,counterfactual_edit
0,36b98fddfb7598504c03334b8da0bad80da8f97ab891fe47365bf682d76676d8,2,36b98fddfb7598504c03334b8da0bad80da8f97ab891fe47365bf682d76676d8,2,SAME,SAME,0,0,0,3,3,3,0,0.4,59,0,0,0,3,0,3,0.0022539869763978926,59
1,df6439f1830a942a711c6b243c7911195f8bdde07a154023ec275870193f644b,3,7a5c1a854a7cab9925994fe20bea312a7af308a57750c9c3c4adabc055fe1856,3,DIFFERENT,MULTIPLE,0,0,0,1,4,2,0,2.0,40,0,0,0,6,0,6,0.013168090533988375,45
2,82dc58fb77f2ff7f8387151fabbeb14d15960d17888635337e836fee9b0e2c98,0,82dc58fb77f2ff7f8387151fabbeb14d15960d17888635337e836fee9b0e2c98,0,SAME,SAME,5,5,0,10,2,2,5,1.0,93,5,5,0,10,0,10,0.03846572037865592,93
3,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
4,bdea0b744147bb10dc2c3f0e2d25dbf113ebb0c83f2db8a5e75ce791f41b706e,3,c85605bc81394ec0bd2bde02afe3c10cc3d2d2070096a94aeb80d71a0b61921a,3,DIFFERENT,BRANCH_RANKING_CHANGED,2,2,0,4,0,0,2,0.0,56,2,2,0,4,0,4,0.013230862095706897,69
5,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
6,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
7,2caa00e628b86f7bfa5b9eca813712cc25eed358b20ff1d2a9db300302b6f6bc,2,2caa00e628b86f7bfa5b9eca813712cc25eed358b20ff1d2a9db300302b6f6bc,2,SAME,SAME,0,0,0,3,2,2,0,0.0,42,0,0,0,3,0,3,0.004218230593967531,42
8,b10043cd0813196a6d7130d126ff35f75640e05cee04f219e2b542328f87418c,3,b61d64332042733d2db85e7f32659887f46d34c0528ffd24ef6a6c4833f6f55f,3,DIFFERENT,MULTIPLE,0,0,0,0,3,2,0,0.125,44,0,0,0,2,0,2,0.005907081285131399,46
9,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
10,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
11,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
12,d7e2c850912d91764c92137c520ea7c01dbc360e03d81c62d445ee46af3fa8a3,2,d7e2c850912d91764c92137c520ea7c01dbc360e03d81c62d445ee46af3fa8a3,2,SAME,SAME,1,1,0,1,0,0,1,0.0,57,1,1,0,1,0,1,0.006161562096800077,57
13,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
14,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
15,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
16,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
17,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
18,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
19,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
20,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
21,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
22,,,e662f19e65c46d4c8d8a2f8a96e50fabe2b735383fa4f3ffeb1bddc5895cb9d3,3,DIFFERENT,MULTIPLE,,,,,,,,,,0,0,0,1,0,1,0.0029535406425656996,122
23,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
24,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
25,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
26,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
27,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
28,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
29,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
30,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
31,,,,,SAME,SAME,,,,,,,,,,,,,,,,,
