update_index,agent_id,target_rank,expected_update_value,branch_failure_count_before_selection,repairability_discount,active_lane,active_slice_size,candidate_count,common_passed_candidate_count,rcru_passed_candidate_count,event_outcome,failure_reasons
0,1,2,0.3,0,1.0,coverage,5,2,0,0,COMMON_SAFETY_FAILURE,target_regression
2,1,2,0.525,0,1.0,direct_flip,2,2,1,1,CROSS_BRANCH_COMPETITION_LOSS,cross_branch_competition_loser|target_regression
3,1,2,0.7,0,1.0,direct_flip,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
6,1,1,0.265,0,1.0,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,target_regression|team_vote_regression
9,1,1,0.75,0,1.0,direct_flip,1,0,0,0,GENERATION_FAILURE,critic_semantic_rejection_exhausted
10,1,1,0.35,1,0.5,direct_flip,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
11,1,2,0.2333333333333333,2,0.3333333333333333,direct_flip,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
12,1,2,0.175,3,0.25,direct_flip,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
14,1,1,0.25833333333333336,0,1.0,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
16,1,1,0.16666666666666669,1,0.5,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
18,1,1,0.12777777777777777,2,0.3333333333333333,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
20,1,1,0.10833333333333334,3,0.25,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
22,1,1,0.09666666666666668,4,0.2,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
24,1,1,0.08888888888888889,5,0.16666666666666666,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
26,1,1,0.08333333333333334,6,0.14285714285714285,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
28,1,1,0.07916666666666666,7,0.125,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
30,1,1,0.07592592592592592,8,0.1111111111111111,coverage,1,1,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
3,4,1,0.75,0,1.0,direct_flip,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
5,4,2,0.28,0,1.0,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
7,4,2,0.165,1,0.5,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
10,4,2,0.2833333333333333,0,1.0,coverage,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
13,4,2,0.2833333333333333,0,1.0,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
15,4,2,0.16666666666666669,1,0.5,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
17,4,2,0.12777777777777777,2,0.3333333333333333,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,team_vote_regression
19,4,2,0.10833333333333334,3,0.25,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
21,4,2,0.09666666666666668,4,0.2,margin_support,1,0,0,0,GENERATION_FAILURE,critic_semantic_rejection_exhausted
23,4,2,0.08888888888888889,5,0.16666666666666666,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
25,4,2,0.08333333333333334,6,0.14285714285714285,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
27,4,2,0.07916666666666666,7,0.125,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
29,4,2,0.07592592592592592,8,0.1111111111111111,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|target_regression|team_vote_regression
31,4,2,0.07333333333333333,9,0.1,margin_support,1,2,0,0,COMMON_SAFETY_FAILURE,no_vote_or_lane_progress|team_vote_regression
