seed_scope,candidate_scope,geometry_type,candidate_count,fraction,context_orphan_exposures,context_residuals_repaired,context_vote_conversions,all_repair_distance_improvements,all_repair_distance_regressions
48,all_evaluated,A_target_plus_vote_plus,5,0.05747126436781609,2,2,1,17,6
48,all_evaluated,B_target_plus_vote_zero,5,0.05747126436781609,4,7,0,56,0
48,all_evaluated,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
48,all_evaluated,D_target_plus_vote_minus,12,0.13793103448275862,6,2,0,15,69
48,all_evaluated,E_target_minus_vote_plus,3,0.034482758620689655,0,3,3,12,7
48,all_evaluated,F_no_joint_value,62,0.7126436781609196,6,9,7,83,177
48,rejected_only,A_target_plus_vote_plus,0,0.0,0,0,0,0,0
48,rejected_only,B_target_plus_vote_zero,0,0.0,0,0,0,0,0
48,rejected_only,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
48,rejected_only,D_target_plus_vote_minus,12,0.15584415584415584,6,2,0,15,69
48,rejected_only,E_target_minus_vote_plus,3,0.03896103896103896,0,3,3,12,7
48,rejected_only,F_no_joint_value,62,0.8051948051948052,6,9,7,83,177
49,all_evaluated,A_target_plus_vote_plus,3,0.03296703296703297,2,3,3,16,6
49,all_evaluated,B_target_plus_vote_zero,9,0.0989010989010989,6,8,0,57,0
49,all_evaluated,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
49,all_evaluated,D_target_plus_vote_minus,11,0.12087912087912088,0,1,1,5,59
49,all_evaluated,E_target_minus_vote_plus,5,0.054945054945054944,4,3,2,24,7
49,all_evaluated,F_no_joint_value,63,0.6923076923076923,20,18,14,96,132
49,rejected_only,A_target_plus_vote_plus,0,0.0,0,0,0,0,0
49,rejected_only,B_target_plus_vote_zero,0,0.0,0,0,0,0,0
49,rejected_only,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
49,rejected_only,D_target_plus_vote_minus,11,0.13924050632911392,0,1,1,5,59
49,rejected_only,E_target_minus_vote_plus,5,0.06329113924050633,4,3,2,24,7
49,rejected_only,F_no_joint_value,63,0.7974683544303798,20,18,14,96,132
50,all_evaluated,A_target_plus_vote_plus,3,0.043478260869565216,2,4,4,17,5
50,all_evaluated,B_target_plus_vote_zero,8,0.11594202898550725,2,5,0,41,4
50,all_evaluated,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
50,all_evaluated,D_target_plus_vote_minus,7,0.10144927536231885,0,1,0,9,39
50,all_evaluated,E_target_minus_vote_plus,3,0.043478260869565216,0,3,3,15,6
50,all_evaluated,F_no_joint_value,48,0.6956521739130435,16,13,5,43,88
50,rejected_only,A_target_plus_vote_plus,0,0.0,0,0,0,0,0
50,rejected_only,B_target_plus_vote_zero,0,0.0,0,0,0,0,0
50,rejected_only,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
50,rejected_only,D_target_plus_vote_minus,7,0.1206896551724138,0,1,0,9,39
50,rejected_only,E_target_minus_vote_plus,3,0.05172413793103448,0,3,3,15,6
50,rejected_only,F_no_joint_value,48,0.8275862068965517,16,13,5,43,88
all,all_evaluated,A_target_plus_vote_plus,11,0.044534412955465584,6,9,8,50,17
all,all_evaluated,B_target_plus_vote_zero,22,0.08906882591093117,12,20,0,154,4
all,all_evaluated,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
all,all_evaluated,D_target_plus_vote_minus,30,0.1214574898785425,6,4,1,29,167
all,all_evaluated,E_target_minus_vote_plus,11,0.044534412955465584,4,9,8,51,20
all,all_evaluated,F_no_joint_value,173,0.7004048582995951,42,40,26,222,397
all,rejected_only,A_target_plus_vote_plus,0,0.0,0,0,0,0,0
all,rejected_only,B_target_plus_vote_zero,0,0.0,0,0,0,0,0
all,rejected_only,C_target_zero_vote_plus,0,0.0,0,0,0,0,0
all,rejected_only,D_target_plus_vote_minus,30,0.14018691588785046,6,4,1,29,167
all,rejected_only,E_target_minus_vote_plus,11,0.0514018691588785,4,9,8,51,20
all,rejected_only,F_no_joint_value,173,0.8084112149532711,42,40,26,222,397
