event_id,seed,question_hash,creation_update,creator_agent_id,eligible_update_count,eligible_agent_update_opportunity_count,selected_opportunity_count,assigned_opportunity_count,explicit_context_hit_count,valid_candidate_opportunity_count,common_safe_feasible_opportunity_count,accepted_opportunity_count,ever_eligible,ever_selected,ever_assigned,ever_context_hit,ever_valid_candidate,ever_common_safe_feasible,ever_accepted,eventually_vote_converted,coverage_lost,first_eligible_update,first_selected_update,first_assigned_update,first_context_update,first_valid_candidate_update,first_feasible_update,first_accepted_update,terminal_status_at_raw_attempt_scan
48-S2-0,48,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,1,2,7,3,1,1,1,0,0,True,True,True,True,True,False,False,True,False,1,1,2,2,2,,,vote_converted
48-S2-1,48,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,1,2,7,3,1,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,2,,,,,vote_converted
48-S2-2,48,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,1,2,7,3,1,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,2,,,,,vote_converted
48-S2-3,48,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,1,4,13,5,4,4,4,3,3,True,True,True,True,True,True,True,True,False,1,1,1,1,1,1,1,vote_converted
48-S2-4,48,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,1,2,7,3,2,2,2,1,1,True,True,True,True,True,True,True,True,False,1,1,1,1,1,1,1,vote_converted
48-S2-5,48,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,0,1,31,109,43,15,2,1,1,1,True,True,True,True,True,True,True,False,False,1,1,8,8,16,16,16,run_end
48-S2-6,48,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,1,2,7,3,1,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,1,,,,,vote_converted
48-S2-7,48,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,1,31,94,41,15,15,11,2,2,True,True,True,True,True,True,True,False,False,1,1,2,2,2,2,2,run_end
48-S2-8,48,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,1,2,7,3,0,0,0,0,0,True,True,False,False,False,False,False,True,False,1,1,,,,,,vote_converted
48-S2-9,48,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,0,1,2,7,3,0,0,0,0,0,True,True,False,False,False,False,False,True,False,1,1,,,,,,vote_converted
48-S2-10,48,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,1,2,7,3,1,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,2,,,,,vote_converted
48-S2-11,48,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,1,4,13,5,3,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,2,,,,,vote_converted
48-S2-12,48,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,2,4,29,116,31,2,2,1,1,1,True,True,True,True,True,True,True,False,False,3,3,8,8,16,16,16,run_end
48-S2-13,48,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,10,1,21,63,30,5,5,2,0,0,True,True,True,True,True,False,False,False,False,11,11,19,19,29,,,run_end
48-S2-14,48,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,16,0,15,60,30,0,0,0,0,0,True,True,False,False,False,False,False,False,False,17,17,,,,,,run_end
49-S2-0,49,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,0,2,7,4,1,1,1,1,1,True,True,True,True,True,True,True,True,False,1,1,1,1,1,1,1,vote_converted
49-S2-1,49,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,0,2,7,4,2,2,1,1,1,True,True,True,True,True,True,True,True,False,1,1,1,1,2,2,2,vote_converted
49-S2-2,49,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,0,2,7,4,1,1,1,0,0,True,True,True,True,True,False,False,True,False,1,1,2,2,2,,,vote_converted
49-S2-3,49,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,0,4,14,5,2,2,1,1,1,True,True,True,True,True,True,True,True,False,1,1,1,1,4,4,4,vote_converted
49-S2-4,49,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,0,0,31,124,51,11,3,3,0,0,True,True,True,True,True,False,False,False,False,1,1,7,26,26,,,run_end
49-S2-5,49,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,0,2,7,4,1,1,1,1,1,True,True,True,True,True,True,True,True,False,1,1,1,1,1,1,1,vote_converted
49-S2-6,49,fd5520653af0e27c0dca4ecec5484299994533fd9cabde8f0a574789c9bc0b91,0,0,2,7,4,1,0,0,0,0,True,True,True,False,False,False,False,True,False,1,1,2,,,,,vote_converted
