seed_scope,stage,independent_ever_hit_event_count,strict_prefix_event_count,independent_fraction_of_created,strict_prefix_fraction_of_created,strict_prefix_retention_from_previous_stage
48,created,15,15,1.0,1.0,
48,eligible,15,15,1.0,1.0,1.0
48,selected,15,15,1.0,1.0,1.0
48,assigned,12,12,0.8,0.8,0.8
48,explicit_context,7,7,0.4666666666666667,0.4666666666666667,0.5833333333333334
48,valid_candidate,7,7,0.4666666666666667,0.4666666666666667,1.0
48,common_safe_feasible,5,5,0.3333333333333333,0.3333333333333333,0.7142857142857143
48,accepted,5,5,0.3333333333333333,0.3333333333333333,1.0
48,vote_converted,10,2,0.6666666666666666,0.13333333333333333,0.4
49,created,17,17,1.0,1.0,
49,eligible,17,17,1.0,1.0,1.0
49,selected,17,17,1.0,1.0,1.0
49,assigned,16,16,0.9411764705882353,0.9411764705882353,0.9411764705882353
49,explicit_context,9,9,0.5294117647058824,0.5294117647058824,0.5625
49,valid_candidate,9,9,0.5294117647058824,0.5294117647058824,1.0
49,common_safe_feasible,6,6,0.35294117647058826,0.35294117647058826,0.6666666666666666
49,accepted,6,6,0.35294117647058826,0.35294117647058826,1.0
49,vote_converted,11,5,0.6470588235294118,0.29411764705882354,0.8333333333333334
50,created,16,16,1.0,1.0,
50,eligible,16,16,1.0,1.0,1.0
50,selected,16,16,1.0,1.0,1.0
50,assigned,14,14,0.875,0.875,0.875
50,explicit_context,8,8,0.5,0.5,0.5714285714285714
50,valid_candidate,8,8,0.5,0.5,1.0
50,common_safe_feasible,4,4,0.25,0.25,0.5
50,accepted,4,4,0.25,0.25,1.0
50,vote_converted,9,4,0.5625,0.25,1.0
all,created,48,48,1.0,1.0,
all,eligible,48,48,1.0,1.0,1.0
all,selected,48,48,1.0,1.0,1.0
all,assigned,42,42,0.875,0.875,0.875
all,explicit_context,24,24,0.5,0.5,0.5714285714285714
all,valid_candidate,24,24,0.5,0.5,1.0
all,common_safe_feasible,15,15,0.3125,0.3125,0.625
all,accepted,15,15,0.3125,0.3125,1.0
all,vote_converted,30,11,0.625,0.22916666666666666,0.7333333333333333
