seed_scope,target_sign,vote_sign,rejected_candidate_count,fraction_of_rejected
48,+,+,0,0.0
48,+,0,0,0.0
48,+,-,12,0.15584415584415584
48,0,+,0,0.0
48,0,0,2,0.025974025974025976
48,0,-,1,0.012987012987012988
48,-,+,3,0.03896103896103896
48,-,0,20,0.2597402597402597
48,-,-,39,0.5064935064935064
49,+,+,0,0.0
49,+,0,0,0.0
49,+,-,11,0.13924050632911392
49,0,+,0,0.0
49,0,0,3,0.0379746835443038
49,0,-,6,0.0759493670886076
49,-,+,5,0.06329113924050633
49,-,0,23,0.2911392405063291
49,-,-,31,0.3924050632911392
50,+,+,0,0.0
50,+,0,0,0.0
50,+,-,7,0.1206896551724138
50,0,+,0,0.0
50,0,0,10,0.1724137931034483
50,0,-,3,0.05172413793103448
50,-,+,3,0.05172413793103448
50,-,0,13,0.22413793103448276
50,-,-,22,0.3793103448275862
all,+,+,0,0.0
all,+,0,0,0.0
all,+,-,30,0.14018691588785046
all,0,+,0,0.0
all,0,0,15,0.07009345794392523
all,0,-,10,0.04672897196261682
all,-,+,11,0.0514018691588785
all,-,0,56,0.2616822429906542
all,-,-,92,0.42990654205607476
