event_id,seed,setting,example_id,first_reinforcement_update,latency_to_reinforcement,reinforcing_agent_ids,first_vote_conversion_update,latency_to_vote_conversion,final_vote_correct
48-S0-0,48,S0,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,2,1,[2],5,2,True
48-S0-2,48,S0,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,2,1,[2],5,2,True
48-S0-3,48,S0,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,2,1,[2],5,2,True
48-S0-4,48,S0,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,2,1,[2],5,2,True
48-S0-5,48,S0,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,2,1,[2],5,2,True
48-S0-6,48,S0,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,2,1,[2],5,2,True
48-S0-7,48,S0,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,2,1,[2],5,2,True
48-S0-8,48,S0,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,2,1,[2],5,2,True
48-S0-9,48,S0,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,2,1,[2],5,2,True
48-S0-10,48,S0,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,5,1,[0],,,False
48-S1-0,48,S1,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,8,2,[3],13,3,True
48-S1-1,48,S1,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,8,2,[3],13,3,True
48-S1-2,48,S1,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,8,2,[3],13,3,True
48-S1-3,48,S1,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,8,2,[3],13,3,True
48-S1-4,48,S1,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,8,2,[3],13,3,True
48-S1-5,48,S1,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,8,2,[3],13,3,True
48-S1-6,48,S1,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,8,2,[3],13,3,True
48-S1-7,48,S1,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,8,2,[3],13,3,True
