setting,lag_accepted_updates,events_with_followup,alive_count,alive_fraction
S0,0,41,41,1.0
S0,1,41,35,0.8536585365853658
S0,2,37,9,0.24324324324324326
S0,3,27,4,0.14814814814814814
S0,4,12,1,0.08333333333333333
S1,0,51,51,1.0
S1,1,49,49,1.0
S1,2,46,45,0.9782608695652174
S1,3,46,23,0.5
S1,4,37,6,0.16216216216216217
S1,5,26,5,0.19230769230769232
S1,6,22,1,0.045454545454545456
S1,7,11,0,0.0
S2,0,48,48,1.0
S2,1,47,46,0.9787234042553191
S2,2,46,20,0.43478260869565216
S2,3,43,13,0.3023255813953488
S2,4,41,11,0.2682926829268293
S2,5,40,10,0.25
S2,6,36,6,0.16666666666666666
S2,7,24,4,0.16666666666666666
S2,8,24,4,0.16666666666666666
