seed,setting,state_rank,g_histogram_sum,oracle_match,vote_match,g_histogram_match
48,S0,0,True,True,True,True
48,S0,1,True,True,True,True
48,S0,2,True,True,True,True
48,S0,3,True,True,True,True
48,S0,4,True,True,True,True
48,S1,0,True,True,True,True
48,S1,1,True,True,True,True
48,S1,2,True,True,True,True
48,S1,3,True,True,True,True
48,S1,4,True,True,True,True
48,S1,5,True,True,True,True
48,S2,0,True,True,True,True
48,S2,1,True,True,True,True
48,S2,2,True,True,True,True
48,S2,3,True,True,True,True
48,S2,4,True,True,True,True
48,S2,5,True,True,True,True
48,S2,6,True,True,True,True
48,S2,7,True,True,True,True
49,S0,0,True,True,True,True
49,S0,1,True,True,True,True
49,S0,2,True,True,True,True
49,S0,3,True,True,True,True
49,S0,4,True,True,True,True
49,S0,5,True,True,True,True
49,S1,0,True,True,True,True
49,S1,1,True,True,True,True
49,S1,2,True,True,True,True
49,S1,3,True,True,True,True
49,S1,4,True,True,True,True
49,S1,5,True,True,True,True
49,S1,6,True,True,True,True
49,S1,7,True,True,True,True
49,S1,8,True,True,True,True
49,S2,0,True,True,True,True
49,S2,1,True,True,True,True
49,S2,2,True,True,True,True
49,S2,3,True,True,True,True
49,S2,4,True,True,True,True
49,S2,5,True,True,True,True
49,S2,6,True,True,True,True
49,S2,7,True,True,True,True
49,S2,8,True,True,True,True
49,S2,9,True,True,True,True
50,S0,0,True,True,True,True
50,S0,1,True,True,True,True
50,S0,2,True,True,True,True
50,S0,3,True,True,True,True
50,S1,0,True,True,True,True
50,S1,1,True,True,True,True
50,S1,2,True,True,True,True
50,S1,3,True,True,True,True
50,S1,4,True,True,True,True
50,S1,5,True,True,True,True
50,S1,6,True,True,True,True
50,S1,7,True,True,True,True
50,S2,0,True,True,True,True
50,S2,1,True,True,True,True
50,S2,2,True,True,True,True
50,S2,3,True,True,True,True
50,S2,4,True,True,True,True
50,S2,5,True,True,True,True
50,S2,6,True,True,True,True
50,S2,7,True,True,True,True
50,S2,8,True,True,True,True
50,S2,9,True,True,True,True
