event_id,seed,setting,example_id,creating_agent_id,ever_revisited_by_other_member,first_revisit_update,first_revisit_agent_id,revisit_latency_raw_updates,explicit_conditioned_context_revisit,ever_vote_converted,converted_after_revisit,analysis_support
48-S0-0,48,S0,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-1,48,S0,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,1,False,,,,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-2,48,S0,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-3,48,S0,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-4,48,S0,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-5,48,S0,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-6,48,S0,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-7,48,S0,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-8,48,S0,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-9,48,S0,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,1,False,,,,not_applicable,True,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-10,48,S0,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,2,False,,,,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-11,48,S0,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,0,False,,,,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-12,48,S0,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,0,False,,,,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S0-13,48,S0,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,False,,,,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-0,48,S1,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,True,4,4,3,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-1,48,S1,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,True,3,3,2,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-2,48,S1,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,True,3,1,2,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-3,48,S1,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,True,3,1,2,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-4,48,S1,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,True,2,2,1,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-5,48,S1,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,True,2,2,1,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-6,48,S1,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,True,3,3,2,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-7,48,S1,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,0,True,4,2,3,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-8,48,S1,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,True,4,2,3,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-9,48,S1,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,True,3,3,2,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-10,48,S1,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,0,True,4,2,2,not_applicable,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-11,48,S1,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,0,True,4,2,2,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-12,48,S1,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,0,True,3,3,1,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-13,48,S1,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,0,True,3,1,1,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-14,48,S1,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,True,3,3,1,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-15,48,S1,99dc366eb8624ce1db6deaa5dbadbfd32a86d773d9fd7ceb3549895a41307717,0,True,4,4,2,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S1-16,48,S1,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,0,True,3,1,1,not_applicable,False,False,EXACT_BRANCH_ASSIGNMENT_HASHES
48-S2-0,48,S2,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,1,True,2,2,2,True,True,True,EXACT_BRANCH_ASSIGNMENT_HASHES
