seed,setting,accepted_state_rank,raw_update_index,G0,G1,G2,G3,G4,G5,oracle_correct_count,vote_correct_count,oracle_vote_gap,fragmented_coverage_count,singleton_wrong_count,near_boundary_count,repair_distance_2plus_count
48,S0,0,-1,25,0,0,0,0,50,50,50,0,0,0,0,25
48,S0,1,1,15,10,0,0,7,43,60,50,10,10,10,0,25
48,S0,2,2,14,2,9,5,2,43,61,50,11,11,2,9,16
48,S0,3,5,11,4,3,12,7,38,64,57,7,7,4,3,15
48,S0,4,6,11,4,3,13,4,40,64,57,7,7,4,3,15
48,S1,0,-1,25,0,0,0,0,50,50,50,0,0,0,0,25
48,S1,1,1,15,10,0,0,8,42,60,50,10,10,10,0,25
48,S1,2,2,8,17,0,0,6,44,67,50,17,17,17,0,25
48,S1,3,8,8,8,9,1,10,39,67,50,17,17,8,9,16
48,S1,4,13,8,7,2,12,7,39,67,58,9,9,7,2,15
48,S1,5,17,8,7,1,14,6,39,67,59,8,8,7,1,15
48,S2,0,-1,25,0,0,0,0,50,50,50,0,0,0,0,25
48,S2,1,0,13,12,0,0,8,42,62,50,12,12,12,0,25
48,S2,2,1,13,1,11,6,3,41,62,50,12,12,1,11,14
48,S2,3,2,12,2,7,10,7,37,63,54,9,9,2,7,14
48,S2,4,4,12,2,6,11,5,39,63,55,8,8,2,6,14
48,S2,5,10,11,4,4,12,5,39,64,56,8,8,4,4,15
48,S2,6,16,10,4,4,14,5,38,65,57,8,8,4,4,14
48,S2,7,22,10,4,3,15,4,39,65,58,7,7,4,3,14
49,S0,0,-1,25,0,0,0,0,50,50,50,0,0,0,0,25
49,S0,1,1,13,12,0,0,9,41,62,50,12,12,12,0,25
49,S0,2,6,14,11,0,0,5,45,61,50,11,11,11,0,25
49,S0,3,9,14,1,10,5,0,45,61,50,11,11,1,10,15
49,S0,4,13,14,1,6,9,3,42,61,54,7,7,1,6,15
49,S0,5,18,14,0,5,11,2,43,61,56,5,5,0,5,14
49,S1,0,-1,25,0,0,0,0,50,50,50,0,0,0,0,25
49,S1,1,0,14,11,0,0,9,41,61,50,11,11,11,0,25
49,S1,2,1,12,6,7,5,5,40,63,50,13,13,6,7,18
49,S1,3,3,9,9,7,2,11,37,66,50,16,16,9,7,18
49,S1,4,4,9,4,8,9,9,36,66,54,12,12,4,8,13
49,S1,5,5,9,6,4,5,15,36,66,56,10,10,6,4,15
49,S1,6,11,9,6,4,4,16,36,66,56,10,10,6,4,15
49,S1,7,13,6,9,4,3,17,36,69,56,13,13,9,4,15
49,S1,8,15,4,12,3,3,17,36,71,56,15,15,12,3,16
49,S2,0,-1,25,0,0,0,0,50,50,50,0,0,0,0,25
49,S2,1,0,13,12,0,0,6,44,62,50,12,12,12,0,25
49,S2,2,1,13,2,10,4,4,42,62,50,12,12,2,10,15
49,S2,3,2,13,1,6,12,1,42,62,55,7,7,1,6,14
49,S2,4,4,10,6,2,9,8,40,65,57,8,8,6,2,16
49,S2,5,9,10,6,2,7,10,40,65,57,8,8,6,2,16
49,S2,6,13,8,8,2,7,11,39,67,57,10,10,8,2,16
49,S2,7,14,8,8,1,8,11,39,67,58,9,9,8,1,16
49,S2,8,15,8,8,1,7,12,39,67,58,9,9,8,1,16
49,S2,9,24,8,6,3,7,12,39,67,58,9,9,6,3,14
50,S0,0,-1,24,0,0,0,0,51,51,51,0,0,0,0,24
50,S0,1,1,15,9,0,0,5,46,60,51,9,9,9,0,24
50,S0,2,7,14,2,8,4,5,42,61,51,10,10,2,8,16
50,S0,3,14,14,0,6,10,3,42,61,55,6,6,0,6,14
50,S1,0,-1,24,0,0,0,0,51,51,51,0,0,0,0,24
50,S1,1,1,15,9,0,0,7,44,60,51,9,9,9,0,24
50,S1,2,3,15,9,0,0,6,45,60,51,9,9,9,0,24
50,S1,3,4,14,3,7,5,3,43,61,51,10,10,3,7,17
50,S1,4,7,12,2,9,6,7,39,63,52,11,11,2,9,14
50,S1,5,16,12,6,2,6,12,37,63,55,8,8,6,2,18
50,S1,6,20,12,5,3,5,11,39,63,55,8,8,5,3,17
50,S1,7,31,12,5,2,6,12,38,63,56,7,7,5,2,17
50,S2,0,-1,24,0,0,0,0,51,51,51,0,0,0,0,24
50,S2,1,0,12,12,0,0,8,43,63,51,12,12,12,0,24
50,S2,2,1,12,3,9,3,7,41,63,51,12,12,3,9,15
50,S2,3,2,12,3,3,11,8,38,63,57,6,6,3,3,15
50,S2,4,4,11,4,3,11,8,38,64,57,7,7,4,3,15
50,S2,5,6,12,3,3,11,6,40,63,57,6,6,3,3,15
50,S2,6,7,12,3,3,11,5,41,63,57,6,6,3,3,15
50,S2,7,13,10,6,2,8,8,41,65,57,8,8,6,2,16
50,S2,8,14,10,6,1,9,8,41,65,58,7,7,6,1,16
50,S2,9,19,9,5,3,10,7,41,66,58,8,8,5,3,14
