setting,update,agent,competition_loser,persistent_attempt_before,persistent_feasible_before,persistent_consecutive_failure_before,R0_rank,R1_rank,R2_rank,R3_rank,R0_retained,R1_retained,R2_retained,R3_retained
S1,0,1,False,0,0,0,2,2,2,2,True,True,True,True
S1,1,1,False,1,1,0,1,1,1,1,True,True,True,True
S1,4,1,False,2,2,0,1,1,1,1,True,True,True,True
S1,5,3,False,2,0,2,2,4,4,4,True,False,False,False
S1,7,0,False,1,0,1,1,1,2,1,True,True,True,True
S1,14,3,False,6,1,3,2,3,3,3,True,False,False,False
S2,0,1,False,0,0,0,2,2,2,2,True,True,True,True
S2,0,2,True,0,0,0,1,1,1,1,True,True,True,True
S2,1,3,False,0,0,0,1,2,1,2,True,True,True,True
S2,2,0,False,0,0,0,1,2,1,2,True,True,True,True
S2,2,2,True,1,1,0,2,1,2,1,True,True,True,True
S2,3,4,False,0,0,0,2,3,2,3,True,False,True,False
S2,4,2,False,2,2,0,1,1,1,1,True,True,True,True
S2,9,2,True,7,3,4,1,2,3,2,True,True,False,True
S2,9,3,False,1,1,0,2,1,1,1,True,True,True,True
S2,13,2,False,11,4,3,1,2,3,2,True,True,False,True
S2,15,2,False,13,5,1,2,2,1,2,True,True,True,True
S2,22,3,False,9,2,7,2,2,2,2,True,True,True,True
S3,0,2,False,0,0,0,1,1,1,1,True,True,True,True
S3,1,2,True,1,1,0,1,1,1,1,True,True,True,True
S3,1,3,False,0,0,0,2,2,2,2,True,True,True,True
S3,2,0,False,0,0,0,1,1,1,1,True,True,True,True
S3,2,1,True,1,0,1,2,3,4,2,True,False,False,True
S3,4,3,False,1,1,0,1,2,1,2,True,True,True,True
S3,7,2,False,4,2,2,1,1,1,1,True,True,True,True
S3,8,3,False,3,2,1,1,1,2,1,True,True,True,True
S3,12,2,False,7,3,2,1,1,1,1,True,True,True,True
