setting,update,agent,persistent_attempt_before,persistent_feasible_before,persistent_consecutive_failure_before,R0_rank,W1_rank,W2_rank,W3_rank,R0_retained,W1_retained,W2_retained,W3_retained
S1,0,1,0,0,0,2,2,2,2,True,True,True,True
S1,1,1,1,1,0,1,1,1,1,True,True,True,True
S1,4,1,2,2,0,1,1,1,1,True,True,True,True
S1,5,3,2,0,2,2,2,4,4,True,True,False,False
S1,7,0,1,0,1,1,1,1,2,True,True,True,True
S1,14,3,6,1,3,2,2,2,2,True,True,True,True
S2,0,1,0,0,0,2,2,2,2,True,True,True,True
S2,0,2,0,0,0,1,1,1,1,True,True,True,True
S2,1,3,0,0,0,1,1,2,1,True,True,True,True
S2,2,0,0,0,0,1,1,2,1,True,True,True,True
S2,2,2,1,1,0,2,2,1,2,True,True,True,True
S2,3,4,0,0,0,2,2,3,2,True,True,False,True
S2,4,2,2,2,0,1,1,1,1,True,True,True,True
S2,9,2,7,3,4,1,1,2,2,True,True,True,True
S2,9,3,1,1,0,2,2,1,1,True,True,True,True
S2,13,2,11,4,3,1,1,2,2,True,True,True,True
S2,15,2,13,5,1,2,2,2,1,True,True,True,True
S2,22,3,9,2,7,2,2,2,2,True,True,True,True
S3,0,2,0,0,0,1,1,1,1,True,True,True,True
S3,1,2,1,1,0,1,1,1,1,True,True,True,True
S3,1,3,0,0,0,2,2,2,2,True,True,True,True
S3,2,0,0,0,0,1,1,1,1,True,True,True,True
S3,2,1,1,0,1,2,2,3,4,True,True,False,False
S3,4,3,1,1,0,1,1,2,1,True,True,True,True
S3,7,2,4,2,2,1,1,1,1,True,True,True,True
S3,8,3,3,2,1,1,1,1,2,True,True,True,True
S3,12,2,7,3,2,1,2,1,1,True,True,True,True
