setting,policy,agent0_selections,agent1_selections,agent2_selections,agent3_selections,agent4_selections,agent1_plus_agent4,top2_changes_vs_R0,top2_changes_vs_W1,known_feasible_retention,known_commit_retention,known_failure_demotion,repeated_failure_demotion,selection_entropy,selection_concentration_hhi
S1,R0,17,9,12,15,11,20,0,12,1.0,1.0,0.0,0.0,0.9845478087002096,0.2099609375
S1,W1,22,6,9,14,13,19,12,0,1.0,1.0,0.14545454545454545,0.1702127659574468,0.9450976286507009,0.23583984375
S1,W2,14,26,2,13,9,35,26,29,0.8333333333333334,0.8333333333333334,0.38181818181818183,0.40425531914893614,0.8738061091113458,0.27490234375
S1,W3,10,19,4,20,11,30,23,28,0.8333333333333334,0.8333333333333334,0.32727272727272727,0.3829787234042553,0.925805118706305,0.24365234375
S2,R0,6,24,14,19,1,25,0,1,1.0,1.0,0.0,0.0,0.8373801334823907,0.28564453125
S2,W1,6,24,14,19,1,25,1,0,1.0,1.0,0.0,0.0,0.8373801334823907,0.28564453125
S2,W2,6,20,15,23,0,20,10,10,0.9166666666666666,0.8888888888888888,0.09803921568627451,0.11363636363636363,0.803523881169913,0.29052734375
S2,W3,8,19,13,23,1,20,12,12,1.0,1.0,0.11764705882352941,0.13636363636363635,0.8555775814571069,0.2744140625
S3,R0,1,17,18,14,14,31,0,5,1.0,1.0,0.0,0.0,0.8939805251969797,0.24560546875
S3,W1,1,17,22,10,14,31,5,0,1.0,1.0,0.07272727272727272,0.0851063829787234,0.8740270270766093,0.26123046875
S3,W2,1,15,20,21,7,22,21,21,0.8888888888888888,1.0,0.16363636363636364,0.19148936170212766,0.8550809098801727,0.2724609375
S3,W3,1,12,20,19,12,24,18,18,0.8888888888888888,1.0,0.12727272727272726,0.14893617021276595,0.8802740517780132,0.25634765625
ALL,R0,24,50,44,48,26,76,0,18,1.0,1.0,0.0,0.0,0.9725579906629772,0.216796875
ALL,W1,29,47,45,43,28,75,18,0,1.0,1.0,0.07453416149068323,0.08695652173913043,0.9853901264336989,0.20909288194444445
ALL,W2,21,61,37,57,16,77,57,60,0.8888888888888888,0.9090909090909091,0.21739130434782608,0.2391304347826087,0.9265706722057864,0.2451171875
ALL,W3,19,50,37,62,24,74,53,58,0.9259259259259259,0.9545454545454546,0.19254658385093168,0.2246376811594203,0.9453806296279674,0.23464626736111113
