candidate_hash,case_id,collateral_class,gain_count,loss_count,nonresponsibility_fragile_loss_count,nonresponsibility_gain_count,nonresponsibility_loss_count,nonresponsibility_pivotal_loss_count,nonresponsibility_stable_loss_count,nonresponsibility_unique_loss_count,responsibility_gain_count,responsibility_loss_count,seed,target_gain
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,BROAD_DEGRADATION,4,12,0,3,12,0,12,0,1,0,48,-8
df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,seed48_structural_parent1_target0,BROAD_DEGRADATION,5,17,0,4,17,0,17,0,1,0,48,-12
2249467342abe57b0f01f7aaa251153ceeb91f0bfddf1b030e1fb4e862b4d20f,seed48_structural_parent2_target4,SPECIALIZATION_OVERWRITE,7,9,0,6,9,4,5,0,1,0,48,-2
c06c7420a7252455b29066ba2990a4a749d7893f86dffd591a89ddce96438481,seed48_structural_parent2_target4,SPECIALIZATION_OVERWRITE,8,9,0,6,9,4,5,0,2,0,48,-1
d03c1d01c3d22954529ba8fc5451248d94a4b54e9842a374909b003064ce3f2e,seed49_structural_parent1_target1,BROAD_DEGRADATION,8,7,0,6,7,0,7,0,2,0,49,1
8740c8ce8cd0dddac5d2157d5261a20a2e362f84c02a77aa60a958316f2b55d2,seed49_structural_parent1_target1,BROAD_DEGRADATION,8,7,0,7,7,0,7,0,1,0,49,1
c1e5bddf63737eb7a01a4721f6a8cc2cbea5b40f911e1d02838758da10b0a241,seed49_structural_parent2_target2,SPECIALIZATION_OVERWRITE,10,7,0,6,7,4,3,0,4,0,49,3
f896fbe2c0d7e3b59c88ce8594740b0495d184cf3f005c26e8c90b55d8e08c9a,seed49_structural_parent2_target2,SPECIALIZATION_OVERWRITE,11,8,0,7,8,4,4,0,4,0,49,3
62c02b9dbd25d08c910dbc1d672926981279763d16e1bbdff1b2efac85fc14d2,seed50_structural_parent1_target3,BROAD_DEGRADATION,6,11,0,4,11,0,11,0,2,0,50,-5
d70344b3a14adafd45fb4ff7a265928e27426c9ca11f7480004399b1f4ffa6a3,seed50_structural_parent1_target3,BROAD_DEGRADATION,7,11,0,4,11,0,11,0,3,0,50,-4
18289914279d8f2c62ef67d95ef79055e551ca221ea2318ee9b15e0cbcbb131f,seed50_structural_parent2_target4,SPECIALIZATION_OVERWRITE,7,8,0,4,8,2,6,0,3,0,50,-1
d7e7bcc0651fc9c30c59bbd38c44f0e9191dab617b6c848e42320c91397496e0,seed50_structural_parent2_target4,SPECIALIZATION_OVERWRITE,11,9,0,8,9,3,6,0,3,0,50,2
77ee5f9e2b082c6697598784ba5f7da3e54122355f295e901f4f408df8f14598,seed51_structural_parent2_target1,SPECIALIZATION_OVERWRITE,8,8,0,6,8,3,5,0,2,0,51,0
703d749cf3c3fcc77a252f55058ae7f6305f457606d02e155af086a0cea98f96,seed51_structural_parent2_target1,SPECIALIZATION_OVERWRITE,8,6,0,6,6,4,2,0,2,0,51,2
