case_id,seed,variant,feasible_count,repair_gain_count,F_count,target_regression_count,critic_exhausted
seed48_structural_parent1_target0,48,m20_current_v15,1,2,1,1,0
seed48_structural_parent1_target0,48,m2d_raw_responsibility_minimal_edit,2,2,0,0,0
seed48_structural_parent1_target0,48,m2b_diagnosis_minimal_edit,0,2,2,2,0
seed48_structural_parent2_target4,48,m2d_raw_responsibility_minimal_edit,0,1,0,2,0
seed48_structural_parent2_target4,48,m2b_diagnosis_minimal_edit,2,2,0,0,0
seed48_structural_parent2_target4,48,m20_current_v15,2,2,0,0,0
seed49_structural_parent1_target1,49,m2b_diagnosis_minimal_edit,2,2,0,0,0
seed49_structural_parent1_target1,49,m20_current_v15,2,2,0,0,0
seed49_structural_parent1_target1,49,m2d_raw_responsibility_minimal_edit,1,1,1,1,0
seed49_structural_parent2_target2,49,m20_current_v15,1,2,0,1,0
seed49_structural_parent2_target2,49,m2d_raw_responsibility_minimal_edit,2,2,0,0,0
seed49_structural_parent2_target2,49,m2b_diagnosis_minimal_edit,1,2,0,1,0
seed50_structural_parent1_target3,50,m2d_raw_responsibility_minimal_edit,0,2,2,2,0
seed50_structural_parent1_target3,50,m2b_diagnosis_minimal_edit,1,2,1,1,0
seed50_structural_parent1_target3,50,m20_current_v15,0,2,2,2,0
seed50_structural_parent2_target4,50,m2b_diagnosis_minimal_edit,1,2,0,1,0
seed50_structural_parent2_target4,50,m20_current_v15,2,2,0,0,0
seed50_structural_parent2_target4,50,m2d_raw_responsibility_minimal_edit,2,2,0,0,0
seed51_structural_parent1_target2,51,m20_current_v15,2,2,0,0,0
seed51_structural_parent1_target2,51,m2d_raw_responsibility_minimal_edit,0,2,2,2,0
seed51_structural_parent1_target2,51,m2b_diagnosis_minimal_edit,1,2,1,0,0
seed51_structural_parent2_target1,51,m2d_raw_responsibility_minimal_edit,1,2,0,1,0
seed51_structural_parent2_target1,51,m2b_diagnosis_minimal_edit,1,1,1,1,0
seed51_structural_parent2_target1,51,m20_current_v15,1,1,0,1,0
