update_index,parent_team_hash,target_agent_id,branch_id,module2_variant,responsibility_evidence_hash,diagnosis_primary_failure_mode_hash,diagnosis_evidence_count,diagnosis_peer_contrast_present,diagnosis_edit_plan_count,critic_calls,critic_semantic_rejections,critic_rejection_reason_counts,critic_exhausted,student_reached,raw_candidates,valid_candidates
1,dc5d6b354b821d8350b54705af6c062aff3ce340ffc748799ec2c5e67f9d45ba,0,0,m20_current_v15,982241fb9eec4bf37871967a74b24f11abfc8d79836d760d509075876b4c7c6a,,0,False,0,2,1,"{""evidence_mismatch"": 1}",False,True,2,2
1,dc5d6b354b821d8350b54705af6c062aff3ce340ffc748799ec2c5e67f9d45ba,0,0,m2d_raw_responsibility_minimal_edit,982241fb9eec4bf37871967a74b24f11abfc8d79836d760d509075876b4c7c6a,,0,False,0,1,0,{},False,True,2,2
1,dc5d6b354b821d8350b54705af6c062aff3ce340ffc748799ec2c5e67f9d45ba,0,0,m2b_diagnosis_minimal_edit,982241fb9eec4bf37871967a74b24f11abfc8d79836d760d509075876b4c7c6a,0be6f67da27a0a5f0f54f2fb92caf8b0e3efd6508bcc2b80bd04da8a3fc3c2f4,2,True,2,1,0,{},False,True,2,2
2,3dab647b71c254f11df0cceb53a16d38ab48d5d2f440c351d43b03f8caf5a43f,4,4,m2d_raw_responsibility_minimal_edit,50fdb3f5ad6eeb80466c8a34e6bc92d7624a40f43279c8ec75a7fe22566498b8,,0,False,0,1,0,{},False,True,2,2
2,3dab647b71c254f11df0cceb53a16d38ab48d5d2f440c351d43b03f8caf5a43f,4,4,m2b_diagnosis_minimal_edit,50fdb3f5ad6eeb80466c8a34e6bc92d7624a40f43279c8ec75a7fe22566498b8,11f4190b30dcbf81bccad511ba70b4e88be4d5f31a76cb1c02e5c42eda2a36c9,2,True,2,1,0,{},False,True,2,2
2,3dab647b71c254f11df0cceb53a16d38ab48d5d2f440c351d43b03f8caf5a43f,4,4,m20_current_v15,50fdb3f5ad6eeb80466c8a34e6bc92d7624a40f43279c8ec75a7fe22566498b8,,0,False,0,1,0,{},False,True,2,2
1,33ded11ea3522dd5517e6f974aeb598192440a066ec1ab54daae05a858445c7b,1,1,m2b_diagnosis_minimal_edit,bc453b778dae5beca2789c05bfe1995c0a00a24a4b84ab122d53a115a57de168,f4d630f7000b3621e68280354ab323c571c170fae1dffcfddbb14b1582adcc48,2,True,2,1,0,{},False,True,2,2
1,33ded11ea3522dd5517e6f974aeb598192440a066ec1ab54daae05a858445c7b,1,1,m20_current_v15,bc453b778dae5beca2789c05bfe1995c0a00a24a4b84ab122d53a115a57de168,,0,False,0,1,0,{},False,True,2,2
1,33ded11ea3522dd5517e6f974aeb598192440a066ec1ab54daae05a858445c7b,1,1,m2d_raw_responsibility_minimal_edit,bc453b778dae5beca2789c05bfe1995c0a00a24a4b84ab122d53a115a57de168,,0,False,0,2,1,"{""evidence_mismatch"": 1}",False,True,2,2
2,a9ebd4c3011ec7d7e96cc80a49dc1609fa94c43d456d4f3556a6e3b71e309bfb,2,2,m20_current_v15,b579b55b27864739243d524ddf6ef5b4685b903d15c452ddfffd59379a2e7bdc,,0,False,0,1,0,{},False,True,2,2
2,a9ebd4c3011ec7d7e96cc80a49dc1609fa94c43d456d4f3556a6e3b71e309bfb,2,2,m2d_raw_responsibility_minimal_edit,b579b55b27864739243d524ddf6ef5b4685b903d15c452ddfffd59379a2e7bdc,,0,False,0,1,0,{},False,True,2,2
2,a9ebd4c3011ec7d7e96cc80a49dc1609fa94c43d456d4f3556a6e3b71e309bfb,2,2,m2b_diagnosis_minimal_edit,b579b55b27864739243d524ddf6ef5b4685b903d15c452ddfffd59379a2e7bdc,2ec20eb03de9e05ef42f4f9bbe6d87826a5c062c1bd3183380710046109694b6,2,True,2,1,0,{},False,True,2,2
1,2616f5d3180a34e771835ee5b69be716a46cfdc9625422b745686e3b878fc7ca,3,3,m2d_raw_responsibility_minimal_edit,696ab60115b249553f61947b398a0081394b56276173ee832fca5f030c2d1187,,0,False,0,1,0,{},False,True,2,2
