seed,variant,case_count,feasible_count,repair_gain_count,F_count,target_regression_count,critic_exhausted_branches
48,m20_current_v15,2,3,4,1,1,0
48,m2d_raw_responsibility_minimal_edit,2,2,3,0,2,0
48,m2b_diagnosis_minimal_edit,2,2,4,2,2,0
49,m20_current_v15,2,3,4,0,1,0
49,m2d_raw_responsibility_minimal_edit,2,3,3,1,1,0
49,m2b_diagnosis_minimal_edit,2,3,4,0,1,0
50,m20_current_v15,2,2,4,2,2,0
50,m2d_raw_responsibility_minimal_edit,2,2,4,2,2,0
50,m2b_diagnosis_minimal_edit,2,2,4,1,2,0
51,m20_current_v15,2,3,3,0,1,0
51,m2d_raw_responsibility_minimal_edit,2,1,4,2,3,0
51,m2b_diagnosis_minimal_edit,2,2,3,2,1,0
