seed,update_index,target_agent_id,candidate_index,candidate_hash,variant,geometry_type,constraint_passed,globally_accepted,repair_set_gain_count,repair_set_loss_count,r1_repair_count,orphan_repair_count,vote_conversion_on_repair_set,repair_distance_reduction_count,P1_loss_count,P2_loss_count,P3_loss_count,total_preservation_violation_count,fixed_pool_aligned,evidence_level
48,0,3,0,2548042ecbd8a19f530a19ff12a788b2a9c717d4f093df745f0a80b3e492cba3,C0_CURRENT_V15,B,True,False,1,0,0,0,0,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,3,0,2548042ecbd8a19f530a19ff12a788b2a9c717d4f093df745f0a80b3e492cba3,C1_BOUNDARY_PROPAGATION,B,True,False,1,0,0,0,0,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,3,0,2548042ecbd8a19f530a19ff12a788b2a9c717d4f093df745f0a80b3e492cba3,C2_BOUNDARY_PLUS_PRESERVATION,B,True,False,1,0,0,0,0,1,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,3,0,2548042ecbd8a19f530a19ff12a788b2a9c717d4f093df745f0a80b3e492cba3,C3_COALITION_AWARE_PRESERVATION,B,True,False,1,0,0,0,0,1,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,3,1,4ebd6150254f8dd2ed20f7b030e910eec6ead10abb4435b7031056e64df497b9,C0_CURRENT_V15,B,True,False,1,0,0,0,0,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,3,1,4ebd6150254f8dd2ed20f7b030e910eec6ead10abb4435b7031056e64df497b9,C1_BOUNDARY_PROPAGATION,B,True,False,1,0,0,0,0,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,3,1,4ebd6150254f8dd2ed20f7b030e910eec6ead10abb4435b7031056e64df497b9,C2_BOUNDARY_PLUS_PRESERVATION,B,True,False,1,0,0,0,0,1,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,3,1,4ebd6150254f8dd2ed20f7b030e910eec6ead10abb4435b7031056e64df497b9,C3_COALITION_AWARE_PRESERVATION,B,True,False,1,0,0,0,0,1,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,1,0,0944cb42d8fbef79004603b59ec4f63b8fb20ef1a7cb03c0f2ae2c83dbd62d1c,C0_CURRENT_V15,F,False,False,1,0,0,0,0,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,1,0,0944cb42d8fbef79004603b59ec4f63b8fb20ef1a7cb03c0f2ae2c83dbd62d1c,C1_BOUNDARY_PROPAGATION,F,False,False,3,0,0,0,0,3,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,0,1,0,0944cb42d8fbef79004603b59ec4f63b8fb20ef1a7cb03c0f2ae2c83dbd62d1c,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,3,0,0,0,0,3,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
