seed_scope,variant,eligible_opportunity_count,explicit_context_opportunity_count,eligible_opportunity_to_context_rate,orphan_event_count,orphan_event_context_coverage_count,orphan_event_context_coverage_rate,assigned_opportunity_count,branch_assigned_to_context_retention,r1_opportunity_count,r1_context_coverage_rate,excluded_assigned_opportunity_count
48,C0_CURRENT_V15,524,31,0.05916030534351145,15,7,0.4666666666666667,51,0.6078431372549019,114,0.12280701754385964,20
48,C1_BOUNDARY_PROPAGATION,524,49,0.09351145038167939,15,12,0.8,51,0.9607843137254902,114,0.2719298245614035,2
48,C2_BOUNDARY_PLUS_PRESERVATION,524,49,0.09351145038167939,15,12,0.8,51,0.9607843137254902,114,0.2719298245614035,2
48,C3_COALITION_AWARE_PRESERVATION,524,49,0.09351145038167939,15,12,0.8,51,0.9607843137254902,114,0.2719298245614035,2
49,C0_CURRENT_V15,648,26,0.040123456790123455,17,9,0.5294117647058824,77,0.33766233766233766,56,0.19642857142857142,51
49,C1_BOUNDARY_PROPAGATION,648,72,0.1111111111111111,17,16,0.9411764705882353,77,0.935064935064935,56,0.25,5
49,C2_BOUNDARY_PLUS_PRESERVATION,648,72,0.1111111111111111,17,16,0.9411764705882353,77,0.935064935064935,56,0.25,5
49,C3_COALITION_AWARE_PRESERVATION,648,72,0.1111111111111111,17,16,0.9411764705882353,77,0.935064935064935,56,0.25,5
50,C0_CURRENT_V15,590,38,0.06440677966101695,16,8,0.5,76,0.5,150,0.18666666666666668,38
50,C1_BOUNDARY_PROPAGATION,590,76,0.1288135593220339,16,14,0.875,76,1.0,150,0.25333333333333335,0
50,C2_BOUNDARY_PLUS_PRESERVATION,590,76,0.1288135593220339,16,14,0.875,76,1.0,150,0.25333333333333335,0
50,C3_COALITION_AWARE_PRESERVATION,590,76,0.1288135593220339,16,14,0.875,76,1.0,150,0.25333333333333335,0
all,C0_CURRENT_V15,1762,95,0.05391600454029512,48,24,0.5,204,0.46568627450980393,320,0.165625,109
all,C1_BOUNDARY_PROPAGATION,1762,197,0.11180476730987514,48,42,0.875,204,0.9656862745098039,320,0.259375,7
all,C2_BOUNDARY_PLUS_PRESERVATION,1762,197,0.11180476730987514,48,42,0.875,204,0.9656862745098039,320,0.259375,7
all,C3_COALITION_AWARE_PRESERVATION,1762,197,0.11180476730987514,48,42,0.875,204,0.9656862745098039,320,0.259375,7
