case_id,variant,prompt_hash,edit_ratio,edit_char_count,changed_line_count,repair_gain,candidate_geometry,common_safe_feasible
seed48_earliest_structural_parent_target0,m20_current_v15,f6ad39f209dd548e1f314324beab978102f301471a13d05d222960c63c349239,2.4198473282442747,317,1,3,B,True
seed48_earliest_structural_parent_target0,m20_current_v15,06aea66616c025db12019297622953c1e9c6b1ae8a4a92e1966d28c8a6cd39f4,3.2977099236641223,432,1,3,B,True
seed48_earliest_structural_parent_target0,m2a_residual_diagnosis,47bd31fffc72b8f44c54d0129eacc85a97b5ff63dbeffa3e9ba91cbebe18e2aa,2.3435114503816794,307,1,2,F,False
seed48_earliest_structural_parent_target0,m2a_residual_diagnosis,98f54e8e63d880b05189b2cf3a1d5abeb8cab7b7dcac94d6306bc22a798490e0,3.0,393,1,2,B,True
seed49_earliest_structural_parent_target1,m2a_residual_diagnosis,95b1f3c3430c712db60115908e28ffa1017b7475ed9fe22c06d6b0d2af271e2a,2.816793893129771,369,1,0,F,False
seed49_earliest_structural_parent_target1,m2a_residual_diagnosis,f4ba88e72d640782dd8b93524424af0ef5a2eb5888232fc186a2420d631cc22f,2.801526717557252,367,1,0,F,False
seed49_earliest_structural_parent_target1,m2b_diagnosis_minimal_edit,040f927bbf10f60bda8e25123f351b190c4809a96253d7b3903fbc31b5b08ffe,2.50381679389313,328,1,3,B,True
seed49_earliest_structural_parent_target1,m2b_diagnosis_minimal_edit,6d1c26a144f8df0705e25565b34565718333fbae6d98b35ae438d82a9e85d38e,2.732824427480916,358,1,2,B,True
seed49_earliest_structural_parent_target1,m2c_diagnosis_minimal_edit_relevance_critic,e8e704a2a198038624ddbf0573953ae20d89a3dd5c823cd01d9893d38bc1b317,3.7404580152671754,490,1,3,B,True
seed49_earliest_structural_parent_target1,m2c_diagnosis_minimal_edit_relevance_critic,1eef0e2b1fcf217d735d62bb57a2295cea4135665e5b62afe28a211434168250,3.267175572519084,428,1,2,F,False
seed50_earliest_structural_parent_target3,m2b_diagnosis_minimal_edit,f6d54a67c2c28fdecae443fb07bada2fa31dff26bee0ee76942b2d80b28619a3,3.5801526717557253,469,1,3,B,True
seed50_earliest_structural_parent_target3,m2b_diagnosis_minimal_edit,22cb09fafbd44a193e967da95917811c8f0135290bfc5604c7309ebc579f9760,2.786259541984733,365,1,3,B,True
seed50_earliest_structural_parent_target3,m20_current_v15,0ae5935aec6950c5c98687e32379bc304bd3dbb2f3ba455324f628686393c086,2.7251908396946565,357,1,3,B,True
seed50_earliest_structural_parent_target3,m20_current_v15,1ff706b0bbc834f14bcd04f645f880a9c24cd6f571efd448e2b43fdbae1759c5,2.854961832061069,374,1,3,B,True
seed50_earliest_structural_parent_target3,m2a_residual_diagnosis,7218ee2922a5ba5cf4c332322284b14c9557283c30c61cabaae2b6d5b3c658db,3.015267175572519,395,1,1,F,False
seed50_earliest_structural_parent_target3,m2a_residual_diagnosis,4a0c6a7319e64b3dffcbf84561096ee658daaa74f91fa8a8fa11c4aa868b576b,3.3282442748091605,436,1,1,F,False
seed51_earliest_structural_parent_target2,m20_current_v15,393d8b315621be690ffc88d795c27eafb4a0717b9295d42940dae3f185235407,3.6259541984732824,475,1,3,B,True
seed51_earliest_structural_parent_target2,m20_current_v15,1542146d8414f8a5a1d5deb6008491e4506739d4663bb543ebf8ea8dcae573ef,3.946564885496183,517,1,2,F,False
seed51_earliest_structural_parent_target2,m2a_residual_diagnosis,2b4bc74ad35509a84a7fa71e7fc7d2379998df71c4149c81e98d88a83aeac57a,3.366412213740458,441,1,3,B,True
seed51_earliest_structural_parent_target2,m2a_residual_diagnosis,d844a90e05668dc6e54efd85f724a4c92b33dfd492db58b3845026cbe94fe064,3.633587786259542,476,1,3,B,True
seed51_earliest_structural_parent_target2,m2b_diagnosis_minimal_edit,4e7a90c042d82fe8de84549d477859fadbcd007892d16f3a25a089e64cb839da,3.145038167938931,412,1,2,B,True
seed51_earliest_structural_parent_target2,m2b_diagnosis_minimal_edit,353ab341812a4665435d182477e8bfd33d2bbe1111105d477f306d0de456bca9,3.572519083969466,468,1,2,F,False
