branch_id,seed,update_index,team_state_version,target_agent_id,portfolio_size,coarse_unique_signature_count,fine_unique_signature_count,coarse_largest_cluster_share,fine_largest_cluster_share,coarse_entropy_norm,fine_entropy_norm,mean_pairwise_signature_distance,fine_coherence_bin,fine_entropy_bin,full_portfolio_size,full_coarse_unique_signature_count,full_fine_unique_signature_count,full_coarse_largest_cluster_share,full_fine_largest_cluster_share,full_coarse_entropy_norm,full_fine_entropy_norm,full_mean_pairwise_signature_distance,visible_minus_full_coarse_cluster_share,visible_minus_full_fine_cluster_share,visible_minus_full_coarse_entropy,visible_minus_full_fine_entropy,any_valid_candidate,any_repair_gain_candidate,any_common_safe_feasible_candidate,any_F_candidate,any_target_regression_candidate,best_feasible_candidate_count
seed48_update0_target3,48,0,0,3,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,5,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,2
seed48_update0_target1,48,0,0,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,5,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,1
seed48_update1_target1,48,1,1,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update1_target0,48,1,1,0,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,2
seed48_update2_target4,48,2,2,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True,1
seed48_update2_target2,48,2,2,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update3_target4,48,3,3,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,7,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update3_target1,48,3,3,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update4_target4,48,4,3,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,7,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,1
seed48_update4_target1,48,4,3,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update5_target4,48,5,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update5_target1,48,5,4,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update6_target4,48,6,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update6_target1,48,6,4,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update7_target4,48,7,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update7_target1,48,7,4,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update8_target4,48,8,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update8_target0,48,8,4,0,2,1,2,1.0,0.5,0.0,1.0,0.25,MEDIUM,HIGH,2,1,2,1.0,0.5,0.0,1.0,0.25,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update9_target4,48,9,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update9_target1,48,9,4,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update10_target4,48,10,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update10_target1,48,10,4,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,1
seed48_update11_target4,48,11,5,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update11_target1,48,11,5,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,10,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update12_target4,48,12,5,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update12_target1,48,12,5,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,10,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update13_target4,48,13,5,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update13_target1,48,13,5,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,10,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update14_target4,48,14,5,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update14_target3,48,14,5,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,2,2,0.5,0.5,1.0,1.0,0.5,0.5,0.5,-1.0,-1.0,True,False,False,False,False,0
seed48_update15_target4,48,15,5,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update15_target2,48,15,5,2,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0
seed48_update16_target0,48,16,5,0,2,1,2,1.0,0.5,0.0,1.0,0.25,MEDIUM,HIGH,2,1,2,1.0,0.5,0.0,1.0,0.25,0.0,0.0,0.0,0.0,True,True,True,True,True,1
seed48_update16_target4,48,16,5,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update17_target4,48,17,6,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update17_target1,48,17,6,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update18_target4,48,18,6,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update18_target1,48,18,6,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update19_target4,48,19,6,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update19_target2,48,19,6,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update20_target4,48,20,6,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update20_target1,48,20,6,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update21_target4,48,21,6,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update21_target3,48,21,6,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,2,2,0.5,0.5,1.0,1.0,0.5,0.5,0.5,-1.0,-1.0,True,False,False,False,False,0
seed48_update22_target4,48,22,6,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,1
seed48_update22_target1,48,22,6,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update23_target4,48,23,7,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update23_target1,48,23,7,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update24_target2,48,24,7,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update24_target4,48,24,7,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update25_target3,48,25,7,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,2,2,0.5,0.5,1.0,1.0,0.5,0.5,0.5,-1.0,-1.0,True,False,False,False,False,0
seed48_update25_target4,48,25,7,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update26_target1,48,26,7,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update26_target2,48,26,7,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update27_target4,48,27,7,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed48_update27_target3,48,27,7,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,2,2,0.5,0.5,1.0,1.0,0.5,0.5,0.5,-1.0,-1.0,True,False,False,True,True,0
seed48_update28_target1,48,28,7,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update28_target4,48,28,7,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update29_target2,48,29,7,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update29_target4,48,29,7,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update30_target3,48,30,7,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,2,2,0.5,0.5,1.0,1.0,0.5,0.5,0.5,-1.0,-1.0,True,False,False,False,False,0
seed48_update30_target1,48,30,7,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed48_update31_target4,48,31,7,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed48_update31_target2,48,31,7,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0
seed49_update0_target2,49,0,0,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,5,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,1
seed49_update0_target0,49,0,0,0,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,5,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,2
seed49_update1_target1,49,1,1,1,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,2,2,0.75,0.75,0.8112781244591328,0.8112781244591328,0.25,0.25,0.25,-0.8112781244591328,-0.8112781244591328,False,False,False,False,False,0
seed49_update1_target4,49,1,1,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,3,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,2
seed49_update2_target2,49,2,2,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,5,2,2,0.8,0.8,0.7219280948873623,0.7219280948873623,0.2,0.19999999999999996,0.19999999999999996,-0.7219280948873623,-0.7219280948873623,True,True,True,False,True,1
seed49_update2_target3,49,2,2,3,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,4,2,2,0.75,0.75,0.8112781244591328,0.8112781244591328,0.25,0.25,0.25,-0.8112781244591328,-0.8112781244591328,True,True,False,False,True,0
seed49_update3_target2,49,3,3,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,5,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update3_target0,49,3,3,0,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,12,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,0
seed49_update4_target1,49,4,3,1,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,1
seed49_update4_target2,49,4,3,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,5,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update5_target2,49,5,4,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update5_target0,49,5,4,0,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed49_update6_target3,49,6,4,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,0
seed49_update6_target2,49,6,4,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed49_update7_target4,49,7,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update7_target2,49,7,4,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update8_target0,49,8,4,0,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed49_update8_target3,49,8,4,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,0
seed49_update9_target2,49,9,4,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,True,1
seed49_update9_target4,49,9,4,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update10_target2,49,10,5,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update10_target0,49,10,5,0,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed49_update11_target3,49,11,5,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed49_update11_target2,49,11,5,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update12_target4,49,12,5,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,6,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update12_target2,49,12,5,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,0
seed49_update13_target0,49,13,5,0,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,9,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,1
seed49_update13_target3,49,13,5,3,1,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,0
seed49_update14_target2,49,14,6,2,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,2,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0
seed49_update14_target4,49,14,6,4,2,1,1,1.0,1.0,0.0,0.0,0.0,HIGH,LOW,8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False,1
