dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,0.1617571660847759,-0.022277674860931795,-0.3113246385896026,-0.16680115672526719,2,0.6335816714224514,deepseek-chat,2,2,0.8003828281477186,abstract_algebra
mmlu,-0.2676919585709171,0.25574691487731394,0.0066612933471750235,0.13120410411224448,2,0.6679148518021234,gemini-2.5-flash-lite,2,2,0.5367107476898789,abstract_algebra
mmlu,-0.21924094614280695,0.19997205145842195,0.06154963658957269,0.13076084402399732,2,0.6994638779108573,gpt-4o-mini,2,2,0.5687030338868599,abstract_algebra
mmlu,0.23253481350798488,0.05155674004642363,-0.11432887663204783,-0.0313860682928121,2,0.49793529318239604,qwen2.5-7b-instruct,2,2,0.5293213614752081,abstract_algebra
mmlu,-0.2154838998060129,0.2114595810313159,0.06760144609868834,0.13953051356500212,2,0.7368611072293314,deepseek-chat,2,2,0.5973305936643294,anatomy
mmlu,0.024064241549989235,0.23857823699293396,0.1926695943349086,0.21562391566392128,2,0.5497869326929021,gemini-2.5-flash-lite,2,2,0.3341630170289809,anatomy
mmlu,-0.08173170256309598,0.17037251803057907,0.018525598763270812,0.09444905839692494,2,0.5117445483130731,gpt-4o-mini,2,2,0.4172954899161482,anatomy
mmlu,-0.0985401937537094,0.18867050566957827,0.04865364687009521,0.11866207626983674,2,0.6915088669796299,qwen2.5-7b-instruct,2,2,0.572846790709793,anatomy
mmlu,-0.37721518987341784,0.36714119494722447,0.36714119494722447,0.36714119494722447,1,0.7134804071359583,deepseek-chat,1,1,0.3463392121887338,astronomy
mmlu,0.014049753284006372,0.013519668659835338,0.013519668659835338,0.013519668659835338,1,0.3400385228641399,gemini-2.5-flash-lite,1,1,0.32651885420430454,astronomy
mmlu,-0.03455872128008841,-0.12841502498246693,-0.12841502498246693,-0.12841502498246693,1,0.3122304246328794,gpt-4o-mini,1,1,0.44064544961534635,astronomy
mmlu,-0.44010153020550125,0.2812213879476554,0.2812213879476554,0.2812213879476554,1,0.7602423990608053,qwen2.5-7b-instruct,1,1,0.4790210111131499,astronomy
mmlu,-0.029825510171521297,0.3245112497836532,-0.14663055783573287,0.08894034597396017,2,0.5159949634269948,deepseek-chat,2,2,0.42705461745303464,business_ethics
mmlu,-0.12002109622224577,0.10290806128161073,-0.16372245957723808,-0.030407199147813674,2,0.2214732920728753,gemini-2.5-flash-lite,2,2,0.251880491220689,business_ethics
mmlu,-0.11906579535753725,0.07197237045427168,0.006300689324593878,0.03913652988943278,2,0.37917505275357266,gpt-4o-mini,2,2,0.34003852286413994,business_ethics
mmlu,-0.1284731009567599,0.21750473242234059,-0.014064544961534642,0.10172009373040297,2,0.6030687232794243,qwen2.5-7b-instruct,2,2,0.5013486295490213,business_ethics
mmlu,-0.22417911049812256,0.3277868493437016,-0.12848475589400582,0.0996510467248479,2,0.6069385052714756,deepseek-chat,2,2,0.5072874585466277,college_biology
mmlu,-0.13034811351445585,0.6103826341884067,0.0,0.30519131709420333,2,0.5039513869403339,gemini-2.5-flash-lite,2,2,0.19876006984613057,college_biology
mmlu,0.10782480597511196,0.05100443166412044,-0.38900393034979486,-0.1689997493428372,2,0.30333452186149434,gpt-4o-mini,2,2,0.4723342712043316,college_biology
mmlu,-0.22620230303841327,0.15639771081186082,0.07830914038428166,0.11735342559807124,2,0.5519558393843496,qwen2.5-7b-instruct,2,2,0.4346024137862783,college_biology
mmlu,-0.1109860503439354,0.3868021935752018,-0.4588316328238921,-0.0985904198008506,3,0.4612096077335322,deepseek-chat,3,3,0.5598000275343828,college_chemistry
mmlu,0.0043221136265280125,0.23984070108583266,-0.3446911976139395,-0.0431370868735787,3,0.456816276782418,gemini-2.5-flash-lite,3,3,0.4999533636559967,college_chemistry
mmlu,0.0005792062299167511,0.22216650818516193,-0.06417241629046544,0.05546386780985679,3,0.5912922505777124,gpt-4o-mini,3,3,0.5358283827678556,college_chemistry
mmlu,-0.14687274046542434,0.17295682677615645,-0.01960985141465621,0.054555597748996675,3,0.6546424963127624,qwen2.5-7b-instruct,3,3,0.6000868985637656,college_chemistry
mmlu,0.4,-0.12451124978365324,-0.12451124978365324,-0.12451124978365324,1,0.36096404744368116,deepseek-chat,1,1,0.4854752972273344,college_computer_science
mmlu,0.4,-0.36096404744368116,-0.36096404744368116,-0.36096404744368116,1,0.0,gemini-2.5-flash-lite,1,1,0.36096404744368116,college_computer_science
mmlu,0.39999999999999997,-0.43514055305469856,-0.43514055305469856,-0.43514055305469856,1,0.36096404744368116,gpt-4o-mini,1,1,0.7961046004983797,college_computer_science
mmlu,-0.8,0.5682439488534499,0.5682439488534499,0.5682439488534499,1,0.5682439488534499,qwen2.5-7b-instruct,1,1,0.0,college_computer_science
mmlu,-0.3075400704428899,0.23890425783858815,0.23890425783858815,0.23890425783858815,1,0.5635846904822703,deepseek-chat,1,1,0.3246804326436822,college_mathematics
