split,arm,seed72_vote,seed73_vote,seed74_vote,mean_vote,mean_oracle,vote_rank
train75,D0,0.6666666666666666,0.6533333333333333,0.6533333333333333,0.6577777777777778,0.6577777777777778,6
train75,D1,0.84,0.84,0.8,0.8266666666666667,0.96,4
train75,D2,0.88,0.8266666666666667,0.8,0.8355555555555556,0.9644444444444444,3
train75,D3,0.8533333333333334,0.84,0.8666666666666667,0.8533333333333334,0.9555555555555556,1
train75,D4,0.8,0.8666666666666667,0.8533333333333334,0.8400000000000001,0.96,2
train75,D5,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.9422222222222223,5
validation50,D0,0.66,0.66,0.62,0.6466666666666667,0.6466666666666667,5
validation50,D1,0.66,0.74,0.62,0.6733333333333333,0.8666666666666667,4
validation50,D2,0.72,0.74,0.66,0.7066666666666667,0.92,1
validation50,D3,0.68,0.72,0.68,0.6933333333333334,0.8933333333333333,2
validation50,D4,0.7,0.7,0.68,0.6933333333333334,0.86,3
validation50,D5,0.58,0.58,0.6,0.5866666666666667,0.8133333333333334,6
former_test125,D0,0.688,0.672,0.68,0.68,0.68,6
former_test125,D1,0.768,0.736,0.76,0.7546666666666667,0.9359999999999999,1
former_test125,D2,0.744,0.736,0.752,0.744,0.9253333333333333,2
former_test125,D3,0.736,0.736,0.712,0.728,0.9173333333333333,5
former_test125,D4,0.752,0.752,0.728,0.744,0.9066666666666667,3
former_test125,D5,0.712,0.728,0.76,0.7333333333333333,0.8853333333333333,4
