split,cluster,item_count,static_vote_accuracy
train75,cluster_0,8,0.375
train75,cluster_1,10,0.7333333333333333
train75,cluster_2,12,0.5833333333333334
train75,cluster_3,24,0.7083333333333334
train75,cluster_4,6,0.8333333333333334
train75,cluster_5,3,0.3333333333333333
train75,cluster_6,8,0.75
train75,cluster_7,4,0.75
validation50,cluster_0,12,0.4444444444444444
validation50,cluster_1,7,0.7142857142857143
validation50,cluster_2,4,0.25
validation50,cluster_3,13,0.7692307692307693
validation50,cluster_4,2,1
validation50,cluster_5,2,1
validation50,cluster_6,5,0.8
validation50,cluster_7,5,0.6
former_test125,cluster_0,22,0.6818181818181818
former_test125,cluster_1,9,0.5185185185185185
former_test125,cluster_2,19,0.5964912280701754
former_test125,cluster_3,30,0.5666666666666667
former_test125,cluster_4,15,1
former_test125,cluster_5,11,0.7272727272727273
former_test125,cluster_6,14,0.7857142857142857
former_test125,cluster_7,5,0.6
