split,cluster,count,proportion
train75,cluster_0,8,0.10666666666666667
train75,cluster_1,10,0.13333333333333333
train75,cluster_2,12,0.16
train75,cluster_3,24,0.32
train75,cluster_4,6,0.08
train75,cluster_5,3,0.04
train75,cluster_6,8,0.10666666666666667
train75,cluster_7,4,0.05333333333333334
validation50,cluster_0,12,0.24
validation50,cluster_1,7,0.14
validation50,cluster_2,4,0.08
validation50,cluster_3,13,0.26
validation50,cluster_4,2,0.04
validation50,cluster_5,2,0.04
validation50,cluster_6,5,0.1
validation50,cluster_7,5,0.1
former_test125,cluster_0,22,0.176
former_test125,cluster_1,9,0.072
former_test125,cluster_2,19,0.152
former_test125,cluster_3,30,0.24
former_test125,cluster_4,15,0.12
former_test125,cluster_5,11,0.088
former_test125,cluster_6,14,0.112
former_test125,cluster_7,5,0.04
