split,stratum,item_count,seed_item_count,static_vote_accuracy
train75,ALL,75,225,0.6577777777777778
train75,label_A,28,84,0.5833333333333334
train75,label_B,30,90,0.7
train75,label_C,17,51,0.7058823529411765
train75,correct_in_0_of_3_seeds,25,,0.0
train75,correct_in_1_of_3_seeds,1,,0.3333333333333333
train75,correct_in_2_of_3_seeds,0,,0.6666666666666666
train75,correct_in_3_of_3_seeds,49,,1.0
validation50,ALL,50,150,0.6466666666666666
validation50,label_A,9,27,0.4444444444444444
validation50,label_B,19,57,0.7894736842105263
validation50,label_C,22,66,0.6060606060606061
validation50,correct_in_0_of_3_seeds,16,,0.0
validation50,correct_in_1_of_3_seeds,2,,0.3333333333333333
validation50,correct_in_2_of_3_seeds,1,,0.6666666666666666
validation50,correct_in_3_of_3_seeds,31,,1.0
former_test125,ALL,125,375,0.68
former_test125,label_A,41,123,0.7317073170731707
former_test125,label_B,48,144,0.7152777777777778
former_test125,label_C,36,108,0.5740740740740741
former_test125,correct_in_0_of_3_seeds,39,,0.0
former_test125,correct_in_1_of_3_seeds,1,,0.3333333333333333
former_test125,correct_in_2_of_3_seeds,1,,0.6666666666666666
former_test125,correct_in_3_of_3_seeds,84,,1.0
