split,feature,mean,median,std,minimum,maximum
train75,question_chars,310.37333333333333,310.0,21.475802431808923,255.0,355.0
train75,core_chars,70.70666666666666,67.0,15.582191267106326,37.0,110.0
train75,core_words,12.333333333333334,12.0,2.6576423881069973,8.0,22.0
train75,entity_like_tokens,0.09333333333333334,0.0,0.29285792761297375,0.0,1.0
train75,pronoun_count,1.0266666666666666,1.0,0.16219218941214866,1.0,2.0
train75,negation_count,0.09333333333333334,0.0,0.29285792761297375,0.0,1.0
train75,conjunction_count,0.56,1.0,0.4997296566441997,0.0,1.0
train75,option_count,3.0,3.0,0.0,3.0,3.0
train75,mean_option_words,3.7466666666666666,3.6666666666666665,0.5872519602903551,2.3333333333333335,5.666666666666667
train75,max_option_words,5.16,5.0,0.8859259928825121,3.0,8.0
validation50,question_chars,308.02,305.0,21.224254512039682,272.0,360.0
validation50,core_chars,65.78,63.5,13.074808306239062,47.0,94.0
validation50,core_words,11.5,11.0,2.279008019077688,8.0,16.0
validation50,entity_like_tokens,0.1,0.0,0.3642156795423418,0.0,2.0
validation50,pronoun_count,1.0,1.0,0.0,1.0,1.0
validation50,negation_count,0.06,0.0,0.23989793748209523,0.0,1.0
validation50,conjunction_count,0.64,1.0,0.48487322138506117,0.0,1.0
validation50,option_count,3.0,3.0,0.0,3.0,3.0
validation50,mean_option_words,3.873333333333333,3.6666666666666665,0.8673728154069791,2.3333333333333335,6.333333333333333
validation50,max_option_words,5.38,5.0,1.307591648171304,3.0,9.0
former_test125,question_chars,307.552,311.0,23.914652007611593,254.0,357.0
former_test125,core_chars,68.072,67.0,13.565953588826462,36.0,109.0
former_test125,core_words,11.816,11.0,2.2518236337287507,8.0,22.0
former_test125,entity_like_tokens,0.088,0.0,0.33639454561954574,0.0,2.0
former_test125,pronoun_count,1.008,1.0,0.08944271909999159,1.0,2.0
former_test125,negation_count,0.12,0.0,0.39349550147037177,0.0,2.0
former_test125,conjunction_count,0.592,1.0,0.49344084849933323,0.0,1.0
former_test125,option_count,3.0,3.0,0.0,3.0,3.0
former_test125,mean_option_words,3.6853333333333333,3.6666666666666665,0.7049543059494725,2.3333333333333335,5.666666666666667
former_test125,max_option_words,5.008,5.0,1.027806935554627,3.0,8.0
