seed,stage,count,survival_from_opportunities,solver_calls_cumulative,tokens_cumulative,attribution_status
vote_aligned_confirmatory_seed76_77_v1,opportunities,17,1.0,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,generated,96,5.647058823529412,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,valid,54,3.176470588235294,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,feasible,17,1.0,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,candidate_winners,8,0.47058823529411764,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,committed,8,0.47058823529411764,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,opportunities,16,1.0,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,generated,96,6.0,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,valid,40,2.5,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,feasible,19,1.1875,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,candidate_winners,8,0.5,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
vote_aligned_confirmatory_seed76_77_v1,committed,5,0.3125,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
combined,opportunities,33,1.0,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
combined,generated,192,5.818181818181818,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
combined,valid,94,2.8484848484848486,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
combined,feasible,36,1.0909090909090908,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
combined,candidate_winners,16,0.48484848484848486,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
combined,committed,13,0.3939393939393939,,,UNATTRIBUTABLE_BY_STAGE_FROM_UNINDEXED_SOLVER_LEDGER
