seed,update_index,agent_id,selected,direct_flip,near_margin,pure_coverage,committed,target_member_delta,mean_member_delta,vote_delta,association_scope
76,0,0,0,0,0,10,1,0.16,0.032,0.0,ASSOCIATIONAL
76,0,1,1,0,0,9,1,0.16,0.032,0.0,ASSOCIATIONAL
76,0,2,1,0,0,9,1,0.16,0.032,0.0,ASSOCIATIONAL
76,0,3,0,0,0,10,1,0.16,0.032,0.0,ASSOCIATIONAL
76,0,4,0,0,0,9,1,0.16,0.032,0.0,ASSOCIATIONAL
76,1,0,0,0,0,0,1,0.01,0.002,0.0,ASSOCIATIONAL
76,1,1,0,0,0,0,1,0.01,0.002,0.0,ASSOCIATIONAL
76,1,2,1,0,0,20,1,0.01,0.002,0.0,ASSOCIATIONAL
76,1,3,1,0,0,0,1,0.01,0.002,0.0,ASSOCIATIONAL
76,1,4,0,0,0,0,1,0.01,0.002,0.0,ASSOCIATIONAL
76,2,0,0,3,0,0,1,0.0,0.0,0.05,ASSOCIATIONAL
76,2,1,1,2,0,0,1,0.0,0.0,0.05,ASSOCIATIONAL
76,2,2,0,0,0,11,1,0.0,0.0,0.05,ASSOCIATIONAL
76,2,3,0,0,0,0,1,0.0,0.0,0.05,ASSOCIATIONAL
76,2,4,1,2,0,0,1,0.0,0.0,0.05,ASSOCIATIONAL
76,3,0,1,2,0,0,1,0.16,0.032,0.04,ASSOCIATIONAL
76,3,1,0,2,0,0,1,0.16,0.032,0.04,ASSOCIATIONAL
76,3,2,0,0,0,8,1,0.16,0.032,0.04,ASSOCIATIONAL
76,3,3,0,0,4,0,1,0.16,0.032,0.04,ASSOCIATIONAL
76,3,4,1,3,0,0,1,0.16,0.032,0.04,ASSOCIATIONAL
76,4,0,0,2,0,0,1,0.12,0.024,0.08,ASSOCIATIONAL
76,4,1,1,17,0,0,1,0.12,0.024,0.08,ASSOCIATIONAL
76,4,2,0,0,0,6,1,0.12,0.024,0.08,ASSOCIATIONAL
76,4,3,0,0,4,0,1,0.12,0.024,0.08,ASSOCIATIONAL
76,4,4,1,1,0,0,1,0.12,0.024,0.08,ASSOCIATIONAL
76,5,0,0,4,0,0,1,0.04,0.008,0.02,ASSOCIATIONAL
76,5,1,1,5,0,0,1,0.04,0.008,0.02,ASSOCIATIONAL
76,5,2,0,0,0,4,1,0.04,0.008,0.02,ASSOCIATIONAL
76,5,3,0,0,3,0,1,0.04,0.008,0.02,ASSOCIATIONAL
76,5,4,1,6,0,0,1,0.04,0.008,0.02,ASSOCIATIONAL
76,6,0,1,5,0,0,0,,,,ASSOCIATIONAL
76,6,1,0,4,0,0,0,,,,ASSOCIATIONAL
76,6,2,0,0,0,2,0,,,,ASSOCIATIONAL
76,6,3,0,0,3,0,0,,,,ASSOCIATIONAL
76,6,4,1,6,0,0,0,,,,ASSOCIATIONAL
76,7,0,0,5,0,0,1,0.02,0.004,0.0,ASSOCIATIONAL
