evidence_type,seed,update,member,selected,committed,valid_outcome,f_before,R_before,f_after,R_after,primary_lane
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,0,0,False,False,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,0,1,True,False,True,0,1.0,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,0,2,True,True,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,0,3,False,False,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,0,4,False,False,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,1,0,False,False,True,0,1.0,0,1.0,fallback
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,1,1,False,False,True,1,0.5,1,0.5,fallback
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,1,2,True,False,True,0,1.0,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,1,3,True,True,True,0,1.0,0,1.0,fallback
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,1,4,False,False,True,0,1.0,0,1.0,fallback
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,2,0,False,False,True,0,1.0,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,2,1,True,True,True,1,0.5,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,2,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,2,3,False,False,True,0,1.0,0,1.0,fallback
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,2,4,True,False,True,0,1.0,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,3,0,True,True,True,0,1.0,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,3,1,False,False,True,0,1.0,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,3,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,3,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,3,4,True,False,True,1,0.5,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,4,0,False,False,True,0,1.0,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,4,1,True,False,True,0,1.0,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,4,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,4,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,4,4,True,True,True,2,0.3333333333333333,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,5,0,False,False,True,0,1.0,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,5,1,True,False,True,1,0.5,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,5,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,5,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,5,4,True,True,True,0,1.0,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,6,0,True,False,True,0,1.0,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,6,1,False,False,True,2,0.3333333333333333,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,6,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,6,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,6,4,True,False,True,0,1.0,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,7,0,False,False,True,1,0.5,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,7,1,True,False,True,2,0.3333333333333333,3,0.25,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,7,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,7,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,7,4,True,True,True,1,0.5,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,8,0,False,False,True,1,0.5,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,8,1,True,False,True,3,0.25,4,0.2,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,8,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,8,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,8,4,True,False,True,0,1.0,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,9,0,True,False,True,1,0.5,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,9,1,False,False,True,4,0.2,4,0.2,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,9,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,9,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,9,4,True,False,True,1,0.5,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,10,0,False,False,True,2,0.3333333333333333,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,10,1,True,True,True,4,0.2,0,1.0,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,10,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,10,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,10,4,True,False,True,2,0.3333333333333333,3,0.25,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,11,0,False,False,True,2,0.3333333333333333,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,11,1,True,False,True,0,1.0,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,11,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,11,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,11,4,True,False,True,3,0.25,4,0.2,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,12,0,True,False,True,2,0.3333333333333333,3,0.25,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,12,1,False,False,True,1,0.5,1,0.5,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,12,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,12,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,12,4,True,False,True,4,0.2,5,0.16666666666666666,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,13,0,False,False,True,3,0.25,3,0.25,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,13,1,True,False,True,1,0.5,2,0.3333333333333333,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,13,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,13,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,13,4,True,False,True,5,0.16666666666666666,6,0.14285714285714285,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,14,0,False,False,True,3,0.25,3,0.25,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,14,1,True,False,True,2,0.3333333333333333,3,0.25,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,14,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,14,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,14,4,True,False,True,6,0.14285714285714285,7,0.125,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,15,0,True,False,True,3,0.25,4,0.2,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,15,1,False,False,True,3,0.25,3,0.25,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,15,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,15,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,15,4,True,False,True,7,0.125,8,0.1111111111111111,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,16,0,False,False,True,4,0.2,4,0.2,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,16,1,True,False,True,3,0.25,4,0.2,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,16,2,False,False,True,1,0.5,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,16,3,False,False,True,0,1.0,0,1.0,near_margin
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,76,16,4,True,False,True,8,0.1111111111111111,9,0.1,direct_flip
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,77,0,0,False,False,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,77,0,1,False,False,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,77,0,2,True,False,True,0,1.0,1,0.5,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,77,0,3,True,True,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,77,0,4,False,False,True,0,1.0,0,1.0,coverage
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,77,1,0,False,False,True,0,1.0,0,1.0,fallback
HISTORICAL_POLICY_CONDITIONED_REALIZABILITY_REPLAY,77,1,1,False,False,True,0,1.0,0,1.0,fallback
