evidence_type,seed,update_index,member_id,direct_count,near_margin_count,coverage_count,direct_score,near_margin_score,coverage_score,primary_lane,primary_score,runner_up_lane,runner_up_score,failure_count,realizability,target_score,selected_historical,selected_counterfactual,commit_success_historical,failure_count_after_historical,realizability_after_historical
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,0,0,0,0,10,0,0,10,coverage,10,direct_flip,0,0,1.0,10.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,0,1,0,0,9,0,0,9,coverage,9,direct_flip,0,0,1.0,9.0,True,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,0,2,0,0,9,0,0,9,coverage,9,direct_flip,0,0,1.0,9.0,True,False,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,0,3,0,0,10,0,0,10,coverage,10,direct_flip,0,0,1.0,10.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,0,4,0,0,9,0,0,9,coverage,9,direct_flip,0,0,1.0,9.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,1,0,0,0,0,0,0,0,fallback,0,near_margin,0,0,1.0,0.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,1,1,0,0,0,0,0,0,fallback,0,near_margin,0,1,0.5,0.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,1,2,0,0,20,0,0,20,coverage,20,direct_flip,0,0,1.0,20.0,True,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,1,3,0,0,0,0,0,0,fallback,0,near_margin,0,0,1.0,0.0,True,True,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,1,4,0,0,0,0,0,0,fallback,0,near_margin,0,0,1.0,0.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,2,0,3,0,0,12,0,0,direct_flip,12,near_margin,0,0,1.0,12.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,2,1,2,0,0,8,0,0,direct_flip,8,near_margin,0,1,0.5,4.0,True,False,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,2,2,0,0,11,0,0,11,coverage,11,direct_flip,0,1,0.5,5.5,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,2,3,0,0,0,0,0,0,fallback,0,near_margin,0,0,1.0,0.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,2,4,2,0,0,8,0,0,direct_flip,8,near_margin,0,0,1.0,8.0,True,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,3,0,2,0,0,8,0,0,direct_flip,8,near_margin,0,0,1.0,8.0,True,True,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,3,1,2,0,0,8,0,0,direct_flip,8,near_margin,0,0,1.0,8.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,3,2,0,0,8,0,0,8,coverage,8,direct_flip,0,1,0.5,4.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,3,3,0,4,0,0,8,0,near_margin,8,direct_flip,0,0,1.0,8.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,3,4,3,0,0,12,0,0,direct_flip,12,near_margin,0,1,0.5,6.0,True,False,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,4,0,2,0,0,8,0,0,direct_flip,8,near_margin,0,0,1.0,8.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,4,1,17,0,0,68,0,0,direct_flip,68,near_margin,0,0,1.0,68.0,True,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,4,2,0,0,6,0,0,6,coverage,6,direct_flip,0,1,0.5,3.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,4,3,0,4,0,0,8,0,near_margin,8,direct_flip,0,0,1.0,8.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,4,4,1,0,0,4,0,0,direct_flip,4,near_margin,0,2,0.3333333333333333,1.3333333333333333,True,False,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,5,0,4,0,0,16,0,0,direct_flip,16,near_margin,0,0,1.0,16.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,5,1,5,0,0,20,0,0,direct_flip,20,near_margin,0,1,0.5,10.0,True,False,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,5,2,0,0,4,0,0,4,coverage,4,direct_flip,0,1,0.5,2.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,5,3,0,3,0,0,6,0,near_margin,6,direct_flip,0,0,1.0,6.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,5,4,6,0,0,24,0,0,direct_flip,24,near_margin,0,0,1.0,24.0,True,True,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,6,0,5,0,0,20,0,0,direct_flip,20,near_margin,0,0,1.0,20.0,True,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,6,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,2,0.3333333333333333,5.333333333333333,False,False,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,6,2,0,0,2,0,0,2,coverage,2,direct_flip,0,1,0.5,1.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,6,3,0,3,0,0,6,0,near_margin,6,direct_flip,0,0,1.0,6.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,6,4,6,0,0,24,0,0,direct_flip,24,near_margin,0,0,1.0,24.0,True,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,7,0,5,0,0,20,0,0,direct_flip,20,near_margin,0,1,0.5,10.0,False,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,7,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,2,0.3333333333333333,5.333333333333333,True,False,False,3,0.25
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,7,2,0,0,2,0,0,2,coverage,2,direct_flip,0,1,0.5,1.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,7,3,0,3,0,0,6,0,near_margin,6,direct_flip,0,0,1.0,6.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,7,4,6,0,0,24,0,0,direct_flip,24,near_margin,0,1,0.5,12.0,True,True,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,8,0,5,0,0,20,0,0,direct_flip,20,near_margin,0,1,0.5,10.0,False,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,8,1,5,0,0,20,0,0,direct_flip,20,near_margin,0,3,0.25,5.0,True,False,False,4,0.2
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,8,2,0,0,3,0,0,3,coverage,3,direct_flip,0,1,0.5,1.5,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,8,3,0,3,0,0,6,0,near_margin,6,direct_flip,0,0,1.0,6.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,8,4,6,0,0,24,0,0,direct_flip,24,near_margin,0,0,1.0,24.0,True,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,9,0,5,0,0,20,0,0,direct_flip,20,near_margin,0,1,0.5,10.0,True,True,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,9,1,5,0,0,20,0,0,direct_flip,20,near_margin,0,4,0.2,4.0,False,False,False,4,0.2
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,9,2,0,0,3,0,0,3,coverage,3,direct_flip,0,1,0.5,1.5,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,9,3,0,3,0,0,6,0,near_margin,6,direct_flip,0,0,1.0,6.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,9,4,6,0,0,24,0,0,direct_flip,24,near_margin,0,1,0.5,12.0,True,True,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,10,0,5,0,0,20,0,0,direct_flip,20,near_margin,0,2,0.3333333333333333,6.666666666666666,False,True,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,10,1,5,0,0,20,0,0,direct_flip,20,near_margin,0,4,0.2,4.0,True,False,True,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,10,2,0,0,3,0,0,3,coverage,3,direct_flip,0,1,0.5,1.5,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,10,3,0,3,0,0,6,0,near_margin,6,direct_flip,0,0,1.0,6.0,False,False,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,10,4,6,0,0,24,0,0,direct_flip,24,near_margin,0,2,0.3333333333333333,8.0,True,True,False,3,0.25
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,11,0,3,0,0,12,0,0,direct_flip,12,near_margin,0,2,0.3333333333333333,4.0,False,False,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,11,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,0,1.0,16.0,True,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,11,2,0,0,4,0,0,4,coverage,4,direct_flip,0,1,0.5,2.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,11,3,0,5,0,0,10,0,near_margin,10,direct_flip,0,0,1.0,10.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,11,4,4,0,0,16,0,0,direct_flip,16,near_margin,0,3,0.25,4.0,True,False,False,4,0.2
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,12,0,3,0,0,12,0,0,direct_flip,12,near_margin,0,2,0.3333333333333333,4.0,True,False,False,3,0.25
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,12,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,1,0.5,8.0,False,True,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,12,2,0,0,4,0,0,4,coverage,4,direct_flip,0,1,0.5,2.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,12,3,0,5,0,0,10,0,near_margin,10,direct_flip,0,0,1.0,10.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,12,4,4,0,0,16,0,0,direct_flip,16,near_margin,0,4,0.2,3.2,True,False,False,5,0.16666666666666666
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,13,0,3,0,0,12,0,0,direct_flip,12,near_margin,0,3,0.25,3.0,False,False,False,3,0.25
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,13,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,1,0.5,8.0,True,True,False,2,0.3333333333333333
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,13,2,0,0,4,0,0,4,coverage,4,direct_flip,0,1,0.5,2.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,13,3,0,5,0,0,10,0,near_margin,10,direct_flip,0,0,1.0,10.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,13,4,4,0,0,16,0,0,direct_flip,16,near_margin,0,5,0.16666666666666666,2.6666666666666665,True,False,False,6,0.14285714285714285
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,14,0,3,0,0,12,0,0,direct_flip,12,near_margin,0,3,0.25,3.0,False,False,False,3,0.25
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,14,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,2,0.3333333333333333,5.333333333333333,True,True,False,3,0.25
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,14,2,0,0,4,0,0,4,coverage,4,direct_flip,0,1,0.5,2.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,14,3,0,5,0,0,10,0,near_margin,10,direct_flip,0,0,1.0,10.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,14,4,4,0,0,16,0,0,direct_flip,16,near_margin,0,6,0.14285714285714285,2.2857142857142856,True,False,False,7,0.125
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,15,0,3,0,0,12,0,0,direct_flip,12,near_margin,0,3,0.25,3.0,True,False,False,4,0.2
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,15,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,3,0.25,4.0,False,True,False,3,0.25
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,15,2,0,0,4,0,0,4,coverage,4,direct_flip,0,1,0.5,2.0,False,False,False,1,0.5
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,15,3,0,5,0,0,10,0,near_margin,10,direct_flip,0,0,1.0,10.0,False,True,False,0,1.0
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,15,4,4,0,0,16,0,0,direct_flip,16,near_margin,0,7,0.125,2.0,True,False,False,8,0.1111111111111111
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,16,0,3,0,0,12,0,0,direct_flip,12,near_margin,0,4,0.2,2.4000000000000004,False,False,False,4,0.2
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,16,1,4,0,0,16,0,0,direct_flip,16,near_margin,0,3,0.25,4.0,True,True,False,4,0.2
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,16,2,0,0,4,0,0,4,coverage,4,direct_flip,0,1,0.5,2.0,False,False,False,1,0.5
