evidence_type,seed,update_index,historical_targets,counterfactual_targets,shared_target_count,allocation_changed,failure_counts_before,counterfactual_outcome_observed
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,0,1;2,3;0,0,True,0:0;1:0;2:0;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,1,2;3,2;3,2,False,0:0;1:1;2:0;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,2,1;4,0;4,1,True,0:0;1:1;2:1;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,3,0;4,3;0,1,True,0:0;1:0;2:1;3:0;4:1,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,4,4;1,1;0,1,True,0:0;1:0;2:1;3:0;4:2,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,5,1;4,4;0,1,True,0:0;1:1;2:1;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,6,0;4,4;0,2,True,0:0;1:2;2:1;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,7,4;1,4;0,1,True,0:1;1:2;2:1;3:0;4:1,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,8,1;4,4;0,1,True,0:1;1:3;2:1;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,9,0;4,4;0,2,True,0:1;1:4;2:1;3:0;4:1,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,10,4;1,4;0,1,True,0:2;1:4;2:1;3:0;4:2,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,11,1;4,1;3,1,True,0:2;1:0;2:1;3:0;4:3,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,12,0;4,3;1,0,True,0:2;1:1;2:1;3:0;4:4,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,13,4;1,3;1,1,True,0:3;1:1;2:1;3:0;4:5,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,14,1;4,3;1,1,True,0:3;1:2;2:1;3:0;4:6,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,15,0;4,3;1,0,True,0:3;1:3;2:1;3:0;4:7,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,76,16,4;1,3;1,1,True,0:4;1:3;2:1;3:0;4:8,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,0,2;3,3;4,1,True,0:0;1:0;2:0;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,1,3;4,3;4,2,False,0:0;1:0;2:1;3:0;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,2,3;1,3;1,2,False,0:0;1:0;2:1;3:1;4:1,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,3,4;0,0;2,1,True,0:0;1:0;2:1;3:2;4:1,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,4,2;0,2;0,2,False,0:0;1:0;2:1;3:2;4:2,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,5,0;2,2;4,1,True,0:1;1:0;2:2;3:2;4:2,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,6,4;0,2;4,1,True,0:2;1:0;2:0;3:2;4:2,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,7,2;0,2;4,1,True,0:3;1:0;2:0;3:2;4:3,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,8,0;2,2;4,1,True,0:4;1:0;2:1;3:2;4:3,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,9,4;0,2;4,1,True,0:5;1:0;2:2;3:2;4:3,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,10,2;0,4;1,0,True,0:6;1:0;2:2;3:2;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,11,0;2,4;1,0,True,0:7;1:0;2:3;3:2;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,12,4;0,4;1,1,True,0:8;1:0;2:4;3:2;4:0,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,13,2;0,4;1,0,True,0:9;1:0;2:4;3:2;4:1,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,14,0;2,4;1,0,True,0:10;1:0;2:5;3:2;4:1,False
RETROSPECTIVE_COUNTERFACTUAL_TARGET_ALLOCATION,77,15,4;0,4;1,1,True,0:11;1:0;2:6;3:2;4:1,False
