seed,setting,train_api_calls,train_tokens,test_api_calls,test_solver_api_calls,test_cache_hits,test_cache_misses,test_tokens,total_tokens
48,Static,0,0,125,125,500,125,31557,31557
48,S0,2371,690455,375,375,125,500,91528,781983
48,S1,2513,1161053,375,375,125,500,111585,1272638
48,S2,6690,1969066,375,375,125,500,100429,2069495
49,Static,0,0,125,125,500,125,31631,31631
49,S0,2070,702795,375,375,125,500,91972,794767
49,S1,1903,1048181,500,500,0,625,176961,1225142
49,S2,6985,2050982,500,500,0,625,137960,2188942
50,Static,0,0,125,125,500,125,31699,31699
50,S0,1404,472543,375,375,125,500,94028,566571
50,S1,2444,1171765,500,500,0,625,139434,1311199
50,S2,5350,1681095,500,500,0,625,140329,1821424
