seed,setting,initial_train_vote,final_train_vote,train_vote_gain,member_0_correct,member_1_correct,member_2_correct,member_3_correct,member_4_correct,mean_member_correct,minimum_member_correct,accepted_updates,valid_candidates,feasible_candidates,conditioned_contexts,api_calls,tokens
48,shared_static_reference,50,50,0,50,50,50,50,50,50.0,50,0,0,0,0,0,0
48,shared_generic_evolution,50,57,7,56,54,55,50,50,53.0,50,4,0,0,0,2371,690455
48,shared_member_aware_dual_target,50,59,9,61,50,50,53,56,54.0,50,5,0,0,0,2513,1161053
48,shared_responsibility_conditioned_dual_target,50,58,8,55,55,50,50,56,53.2,50,7,0,0,0,6690,1969066
49,shared_static_reference,50,50,0,50,50,50,50,50,50.0,50,0,0,0,0,0,0
49,shared_generic_evolution,50,56,6,50,56,50,55,55,53.2,50,5,0,0,0,2070,702795
49,shared_member_aware_dual_target,50,56,6,59,55,55,50,56,55.0,50,8,0,0,0,1903,1048181
49,shared_responsibility_conditioned_dual_target,50,58,8,57,56,56,50,57,55.2,50,9,0,0,0,6985,2050982
50,shared_static_reference,50,50,0,50,50,50,50,50,50.0,50,0,0,0,0,0,0
50,shared_generic_evolution,51,55,4,51,55,52,51,55,52.8,51,3,0,0,0,1404,472543
50,shared_member_aware_dual_target,51,56,5,52,51,55,54,53,53.0,51,7,0,0,0,2444,1171765
50,shared_responsibility_conditioned_dual_target,51,58,7,55,51,57,56,55,54.8,51,9,0,0,0,5350,1681095
