seed,update_index,excluded,conversion_residual_count,alternative_conversion_eligible_member_count,eligible_primary_parent,reason
56,0,false,0,0,false,no_conversion_residual
56,1,true,,,false,prior_2x2_or_w1_development_parent
56,2,true,,,false,prior_hybrid_development_parent
56,3,true,,,false,prior_2x2_or_w1_development_parent
56,4,false,17,3,true,eligible
56,5,true,,,false,prior_2x2_or_w1_development_parent
56,6,true,,,false,prior_hybrid_development_parent
56,7,false,14,3,true,eligible
57,0,false,0,0,false,no_conversion_residual
57,1,false,0,0,false,no_conversion_residual
57,2,true,,,false,prior_hybrid_development_parent
57,3,true,,,false,prior_2x2_or_w1_development_parent
57,4,true,,,false,prior_2x2_or_w1_development_parent
57,5,true,,,false,prior_hybrid_development_parent
57,6,false,17,3,true,eligible
57,7,false,17,3,true,eligible
58,0,false,0,0,false,no_conversion_residual
58,1,false,0,0,false,no_conversion_residual
58,2,true,,,false,prior_hybrid_development_parent
58,3,false,0,0,false,no_conversion_residual
58,4,true,,,false,prior_hybrid_development_parent
58,5,false,0,0,false,no_conversion_residual
58,6,false,12,4,true,eligible
58,7,true,,,false,prior_2x2_or_w1_development_parent
