seed,update_index,prospective,conversion_residual_count,conversion_eligible_count,base_target2,total_count_target2,singleton_count_target2,direct_flip_count_target2,dominant_wrong_count_target2
56,0,0,0,0,1,1,1,1,1
56,1,0,14,4,4,4,4,4,4
56,2,0,14,3,0,1,1,0,1
56,3,0,17,3,2,1,4,1,1
56,4,1,17,3,4,0,4,0,0
56,5,0,14,3,1,4,4,1,4
56,6,0,14,4,4,2,4,2,2
56,7,1,14,3,0,4,4,1,4
57,0,0,0,0,2,2,2,2,2
57,1,0,0,0,0,0,0,0,0
57,2,0,0,0,1,1,1,1,1
57,3,0,14,3,3,3,3,3,3
57,4,0,17,3,0,3,3,1,3
57,5,0,17,3,2,3,3,4,3
57,6,1,17,3,0,3,3,1,3
57,7,1,17,3,1,1,1,1,1
58,0,0,0,0,3,3,3,3,3
58,1,0,0,0,0,0,0,0,0
58,2,0,0,0,3,3,3,3,3
58,3,0,0,0,4,4,4,4,4
58,4,0,0,0,1,1,1,1,1
58,5,0,0,0,3,3,3,3,3
58,6,1,12,4,1,1,1,1,1
58,7,0,12,4,2,2,2,2,2
