arm,min_member_delta,oracle_delta,seed,sum_member_delta,target_agent_id,target_member_gain,update_index,vote_delta,vote_gain_count,vote_loss_count
S1,0,12,56,5,1,5,0,0,0,0
S1,0,2,56,4,1,4,2,0,0,0
S1,0,5,56,6,0,6,4,0,0,0
S2,0,14,56,5,3,5,0,0,0,0
S2,0,3,56,5,4,5,2,0,0,0
S2,0,2,56,3,2,3,4,5,5,0
S2,0,-1,56,3,2,3,7,2,3,1
S3,0,11,56,3,3,3,0,0,0,0
S3,0,0,56,6,0,6,1,0,0,0
S3,0,0,56,5,2,5,2,7,10,3
S4,0,11,56,5,3,5,0,0,0,0
S4,0,1,56,1,1,1,2,0,0,0
S4,0,0,56,4,0,4,3,4,8,4
S4,0,0,56,1,0,1,5,0,0,0
S1,0,14,57,8,2,8,0,0,0,0
S1,0,3,57,8,0,8,1,0,0,0
S1,0,0,57,7,1,7,2,9,9,0
S1,0,2,57,6,3,6,3,0,4,4
S1,1,0,57,1,4,1,6,2,2,0
S2,0,14,57,7,2,7,2,0,0,0
S2,0,3,57,3,3,3,3,0,0,0
S3,0,11,57,3,1,3,0,0,0,0
S3,0,0,57,4,4,4,1,0,0,0
S3,0,0,57,3,3,3,3,4,9,5
S3,0,0,57,1,1,1,5,1,1,0
S4,0,9,57,3,3,3,0,0,0,0
S4,0,2,57,2,0,2,2,0,0,0
S4,0,2,57,4,4,4,3,5,7,2
S4,0,0,57,4,2,4,5,1,3,2
S1,0,10,58,4,1,4,1,0,0,0
S1,0,3,58,7,2,7,2,0,0,0
S1,0,4,58,5,4,5,3,3,5,2
S1,0,0,58,3,3,3,5,2,6,4
S1,3,1,58,8,0,8,6,1,1,0
S2,0,12,58,5,0,5,5,0,0,0
S2,0,3,58,2,0,2,7,0,0,0
S3,0,11,58,5,4,5,0,0,0,0
S3,0,0,58,5,0,5,3,0,0,0
S3,0,0,58,2,1,2,4,6,10,4
S4,0,11,58,6,4,6,0,0,0,0
S4,0,0,58,4,3,4,1,0,0,0
S4,0,0,58,3,1,3,2,5,10,5
S4,0,-1,58,0,4,0,4,1,1,0
