G0_count,G1_count,G2_count,G3_count,G4_count,G5_count,arm,mean_G,mean_H,mean_M,mean_off_diagonal_same_wrong_excess,mean_pairwise_correctness_correlation,n_eff,oracle_accuracy,oracle_covered_but_vote_wrong_rate,oracle_minus_vote_gap,seed,split,total_pivotal_correct,total_unique_correct,vote_accuracy
39,0,0,0,0,86,S0,3.44,1.56,1.88,0.6311637080867851,1.0,1.0,0.688,0.0,0.0,56,test,0,0,0.688
25,0,0,0,0,50,S0,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.43520000000000003,1.0,1.0,0.6666666666666666,0.0,0.0,56,train,0,0,0.6666666666666666
17,0,0,0,0,33,S0,3.3,1.7,1.6,0.6228373702422145,1.0,1.0,0.66,0.0,0.0,56,validation,0,0,0.66
14,14,12,5,10,70,S1,3.544,1.392,2.152,0.552249725877193,0.6127686683509215,1.4488240542962978,0.888,0.208,0.20799999999999996,56,test,12,14,0.68
6,11,8,1,10,39,S1,3.533333333333333,1.4266666666666667,2.1066666666666665,0.46332093643198907,0.5499811491189088,1.5625368189947193,0.92,0.25333333333333335,0.2533333333333334,56,train,3,11,0.6666666666666666
11,3,4,2,11,19,S1,3.12,1.84,1.28,0.593958818958819,0.6151755597595792,1.4447934709891233,0.78,0.14,0.14,56,validation,6,3,0.64
18,8,7,15,17,60,S2,3.48,1.432,2.048,0.5269010608632673,0.5693448606120309,1.5256091300386996,0.856,0.12,0.12,56,test,36,8,0.736
7,6,5,13,9,35,S2,3.546666666666667,1.4133333333333333,2.1333333333333333,0.4500629482797904,0.45801347779857793,1.7655031142720863,0.9066666666666666,0.14666666666666667,0.1466666666666666,56,train,39,6,0.76
6,8,2,7,8,19,S2,3.2,1.76,1.44,0.5919521299956083,0.503592174184141,1.6587221083516204,0.88,0.2,0.19999999999999996,56,validation,18,8,0.68
27,3,9,11,1,74,S3,3.424,1.472,1.952,0.5327510236223938,0.7482497971013433,1.2521915893493527,0.784,0.096,0.09600000000000009,56,test,33,3,0.688
14,0,4,13,3,41,S3,3.52,1.4133333333333333,2.1066666666666665,0.4183813744700432,0.6429411031355812,1.3998683626619932,0.8133333333333334,0.05333333333333334,0.053333333333333344,56,train,39,0,0.76
14,0,6,4,3,23,S3,3.02,1.92,1.1,0.5775942913562323,0.7074764821977874,1.3055150943559004,0.72,0.12,0.12,56,validation,12,0,0.6
27,2,9,8,5,74,S4,3.472,1.44,2.032,0.5087219041133911,0.7576891723125394,1.2404618748967828,0.784,0.088,0.08800000000000008,56,test,24,2,0.696
13,3,5,9,4,41,S4,3.48,1.5066666666666666,1.9733333333333334,0.3732533333333333,0.6529976289572732,1.384278274842675,0.8266666666666667,0.10666666666666667,0.10666666666666669,56,train,27,3,0.72
