contrast,new_pivotal_and_vote_gain,new_pivotal_without_vote_gain,oracle_gain_and_vote_gain,oracle_gain_count,oracle_gain_without_vote_gain,oracle_loss_count,seed,split,unique_gain_and_vote_gain,unique_gain_without_vote_gain,vote_gain_count,vote_loss_count
S0_to_S1,0,2,0,6,6,0,56,validation,0,3,0,1
S1_to_S2,2,4,0,6,6,1,56,validation,0,8,3,1
S2_to_S3,1,3,0,1,1,9,56,validation,0,0,1,5
S3_to_S4,2,3,0,0,0,1,56,validation,0,0,3,3
S1_to_S4,3,2,0,0,0,4,56,validation,0,0,4,6
S0_to_S1,0,4,0,26,26,1,56,test,0,14,0,1
S1_to_S2,8,4,0,4,4,8,56,test,0,8,8,1
S2_to_S3,0,11,0,0,0,9,56,test,0,2,0,6
S3_to_S4,2,6,0,5,5,5,56,test,0,2,5,4
S1_to_S4,6,2,0,3,3,16,56,test,0,1,6,4
S0_to_S1,3,1,4,7,3,0,57,validation,0,5,4,5
S1_to_S2,0,0,0,3,3,2,57,validation,0,3,4,5
S2_to_S3,3,1,1,1,0,6,57,validation,0,1,4,5
S3_to_S4,0,3,0,2,2,0,57,validation,0,3,0,1
S1_to_S4,0,3,0,2,2,4,57,validation,0,3,3,6
S0_to_S1,5,8,15,29,14,0,57,test,0,6,15,8
S1_to_S2,3,1,0,1,1,9,57,test,0,9,8,15
S2_to_S3,6,3,0,3,3,13,57,test,0,1,6,3
S3_to_S4,2,10,0,8,8,0,57,test,0,8,2,1
S1_to_S4,4,7,0,2,2,12,57,test,0,8,9,12
S0_to_S1,0,2,3,11,8,0,58,validation,0,7,3,8
S1_to_S2,0,0,0,0,0,4,58,validation,0,6,9,3
S2_to_S3,2,4,0,1,1,3,58,validation,0,0,3,3
S3_to_S4,1,6,0,0,0,0,58,validation,0,0,2,2
S1_to_S4,4,3,0,0,0,6,58,validation,0,0,7,1
S0_to_S1,3,5,10,27,17,0,58,test,0,15,10,5
S1_to_S2,0,0,0,2,2,11,58,test,0,18,5,10
S2_to_S3,8,5,1,8,7,7,58,test,0,7,8,4
S3_to_S4,0,12,0,2,2,8,58,test,0,2,0,0
S1_to_S4,2,10,0,1,1,15,58,test,0,2,3,4
