arm,max_member_accuracy,mean_member_accuracy,min_member_accuracy,oracle_accuracy,oracle_correct_count,oracle_minus_vote_gap,question_count,seed,split,vote_accuracy,vote_correct_count
S0,0.688,0.688,0.688,0.688,86,0.0,125,56,test,0.688,86
S0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,50,0.0,75,56,train,0.6666666666666666,50
S0,0.66,0.66,0.66,0.66,33,0.0,50,56,validation,0.66,33
S1,0.76,0.7088,0.68,0.888,111,0.20799999999999996,125,56,test,0.68,85
S1,0.7866666666666666,0.7066666666666667,0.6666666666666666,0.92,69,0.2533333333333334,75,56,train,0.6666666666666666,50
S1,0.64,0.624,0.56,0.78,39,0.14,50,56,validation,0.64,32
S2,0.768,0.696,0.64,0.856,107,0.12,125,56,test,0.736,92
S2,0.7466666666666667,0.7093333333333333,0.6666666666666666,0.9066666666666666,68,0.1466666666666666,75,56,train,0.76,57
S2,0.78,0.64,0.54,0.88,44,0.19999999999999996,50,56,validation,0.68,34
S3,0.696,0.6848,0.68,0.784,98,0.09600000000000009,125,56,test,0.688,86
S3,0.7466666666666667,0.704,0.6666666666666666,0.8133333333333334,61,0.053333333333333344,75,56,train,0.76,57
S3,0.66,0.604,0.56,0.72,36,0.12,50,56,validation,0.6,30
S4,0.72,0.6944,0.672,0.784,98,0.08800000000000008,125,56,test,0.696,87
S4,0.7333333333333333,0.696,0.6666666666666666,0.8266666666666667,62,0.10666666666666669,75,56,train,0.72,54
S4,0.64,0.592,0.56,0.7,35,0.09999999999999998,50,56,validation,0.6,30
S0,0.68,0.68,0.68,0.68,85,0.0,125,57,test,0.68,85
S0,0.68,0.68,0.68,0.68,51,0.0,75,57,train,0.68,51
S0,0.66,0.66,0.66,0.66,33,0.0,50,57,validation,0.66,33
S1,0.76,0.7183999999999999,0.688,0.912,114,0.17600000000000005,125,57,test,0.736,92
S1,0.7866666666666666,0.76,0.6933333333333334,0.9333333333333333,70,0.10666666666666669,75,57,train,0.8266666666666667,62
S1,0.7,0.612,0.52,0.8,40,0.16000000000000003,50,57,validation,0.64,32
S2,0.752,0.696,0.68,0.848,106,0.16799999999999993,125,57,test,0.68,85
S2,0.7733333333333333,0.7066666666666667,0.68,0.9066666666666666,68,0.22666666666666657,75,57,train,0.68,51
S2,0.78,0.6799999999999999,0.62,0.82,41,0.19999999999999996,50,57,validation,0.62,31
S3,0.712,0.6944,0.68,0.768,96,0.06400000000000006,125,57,test,0.704,88
S3,0.7333333333333333,0.7093333333333334,0.68,0.8266666666666667,62,0.07999999999999996,75,57,train,0.7466666666666667,56
S3,0.64,0.608,0.56,0.72,36,0.12,50,57,validation,0.6,30
S4,0.704,0.6944,0.68,0.832,104,0.12,125,57,test,0.712,89
S4,0.7333333333333333,0.7146666666666667,0.68,0.8533333333333334,64,0.09333333333333338,75,57,train,0.76,57
S4,0.64,0.592,0.54,0.76,38,0.18000000000000005,50,57,validation,0.58,29
S0,0.68,0.68,0.68,0.68,85,0.0,125,58,test,0.68,85
S0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,50,0.0,75,58,train,0.6666666666666666,50
S0,0.62,0.62,0.62,0.62,31,0.0,50,58,validation,0.62,31
S1,0.76,0.7056,0.656,0.896,112,0.17600000000000005,125,58,test,0.72,90
S1,0.7733333333333333,0.7386666666666667,0.7066666666666667,0.9066666666666666,68,0.15999999999999992,75,58,train,0.7466666666666667,56
S1,0.72,0.5800000000000001,0.52,0.84,42,0.31999999999999995,50,58,validation,0.52,26
S2,0.68,0.6768000000000001,0.664,0.824,103,0.1439999999999999,125,58,test,0.68,85
S2,0.76,0.6853333333333333,0.6666666666666666,0.8666666666666667,65,0.20000000000000007,75,58,train,0.6666666666666666,50
S2,0.66,0.644,0.64,0.76,38,0.12,50,58,validation,0.64,32
S3,0.736,0.7023999999999999,0.688,0.832,104,0.12,125,58,test,0.712,89
S3,0.7333333333333333,0.6986666666666667,0.6666666666666666,0.8133333333333334,61,0.06666666666666665,75,58,train,0.7466666666666667,56
S3,0.66,0.616,0.58,0.72,36,0.07999999999999996,50,58,validation,0.64,32
S4,0.704,0.6928,0.68,0.784,98,0.07200000000000006,125,58,test,0.712,89
S4,0.7466666666666667,0.7013333333333334,0.6666666666666666,0.8,60,0.053333333333333344,75,58,train,0.7466666666666667,56
S4,0.64,0.608,0.58,0.72,36,0.07999999999999996,50,58,validation,0.64,32
