accepted_rate,accepted_updates,arm,generated_candidates,generic_revision_attempted,generic_revision_committed,generic_revision_feasible,mean_vote_delta_per_commit,median_vote_delta_per_commit,oracle_gain_per_commit,pass_rate,passed_candidates,planned_updates,repair_attempted,repair_committed,repair_eligible,repair_feasible,repair_valid,seed,train_oracle_delta,train_vote_delta,valid_candidates,vote_gain_per_commit
0.0,0,S0,0,0,0,0,,,0.0,0.0,0,0,0,0,0,0,0,56,0,0,0,0.0
0.375,3,S1,28,14,3,3,0.0,0.0,6.333333333333333,0.17857142857142858,5,8,0,0,0,0,0,56,19,0,14,0.0
0.5,4,S2,23,12,2,8,1.75,1.0,4.5,0.5652173913043478,13,8,0,0,0,0,0,56,18,7,12,1.75
0.375,3,S3,28,0,0,0,2.3333333333333335,0.0,3.6666666666666665,0.2857142857142857,8,8,0,0,0,0,0,56,11,7,28,2.3333333333333335
0.5,4,S4,23,0,0,0,1.0,0.0,3.0,0.34782608695652173,8,8,7,0,7,3,0,56,12,4,16,1.0
0.0,0,S0,0,0,0,0,,,0.0,0.0,0,0,0,0,0,0,0,57,0,0,0,0.0
0.625,5,S1,47,24,5,7,2.2,0.0,3.8,0.23404255319148937,11,8,0,0,0,0,0,57,19,11,24,2.2
0.25,2,S2,20,10,2,3,0.0,0.0,8.5,0.25,5,8,0,0,0,0,0,57,17,0,10,0.0
0.5,4,S3,22,0,0,0,1.25,0.5,2.75,0.45454545454545453,10,8,0,0,0,0,0,57,11,5,22,1.25
0.5,4,S4,24,0,0,0,1.5,0.5,3.25,0.3333333333333333,8,8,4,0,4,0,0,57,13,6,20,1.5
0.0,0,S0,0,0,0,0,,,0.0,0.0,0,0,0,0,0,0,0,58,0,0,0,0.0
0.625,5,S1,34,17,2,8,1.2,1.0,3.6,0.38235294117647056,13,8,0,0,0,0,0,58,18,6,17,1.2
0.25,2,S2,24,12,2,3,0.0,0.0,7.5,0.25,6,8,0,0,0,0,0,58,15,0,12,0.0
0.375,3,S3,22,0,0,0,2.0,0.0,3.6666666666666665,0.4090909090909091,9,8,0,0,0,0,0,58,11,6,22,2.0
0.5,4,S4,25,0,0,0,1.5,0.5,2.5,0.48,12,8,7,0,7,2,0,58,10,6,20,1.5
