contrast,mean_G_delta,mean_H_delta,mean_M_delta,oracle_gain_count,oracle_loss_count,oracle_net_count,question_count,seed,split,stable_vote_correct_count,stable_vote_wrong_count,vote_gain_count,vote_gain_rate,vote_loss_count,vote_loss_rate,vote_net_count
S0_to_S1,-0.18,0.14,-0.32,6,0,6,50,56,validation,32,11,0,0.0,1,0.02,-1
S0_to_S1,0.104,-0.168,0.272,26,1,25,125,56,test,85,13,0,0.0,1,0.008,-1
S1_to_S2,0.08,-0.08,0.16,6,1,5,50,56,validation,31,9,3,0.06,1,0.02,2
S1_to_S2,-0.064,0.04,-0.104,4,8,-4,125,56,test,84,20,8,0.064,1,0.008,7
S2_to_S3,-0.18,0.16,-0.34,1,9,-8,50,56,validation,29,5,1,0.02,5,0.1,-4
S2_to_S3,-0.056,0.04,-0.096,0,9,-9,125,56,test,86,24,0,0.0,6,0.048,-6
S3_to_S4,-0.06,0.1,-0.16,0,1,-1,50,56,validation,27,16,3,0.06,3,0.06,0
S3_to_S4,0.048,-0.032,0.08,5,5,0,125,56,test,82,24,5,0.04,4,0.032,1
S1_to_S4,-0.16,0.18,-0.34,0,4,-4,50,56,validation,26,11,4,0.08,6,0.12,-2
S1_to_S4,-0.072,0.048,-0.12,3,16,-13,125,56,test,81,15,6,0.048,4,0.032,2
S0_to_S1,-0.24,0.18,-0.42,7,0,7,50,57,validation,28,10,4,0.08,5,0.1,-1
S0_to_S1,0.192,-0.264,0.456,29,0,29,125,57,test,77,11,15,0.12,8,0.064,7
S1_to_S2,0.34,-0.3,0.64,3,2,1,50,57,validation,27,9,4,0.08,5,0.1,-1
S1_to_S2,-0.112,0.136,-0.248,1,9,-8,125,57,test,77,17,8,0.064,15,0.12,-7
S2_to_S3,-0.36,0.34,-0.7,1,6,-5,50,57,validation,26,9,4,0.08,5,0.1,-1
S2_to_S3,-0.008,-0.056,0.048,3,13,-10,125,57,test,82,18,6,0.048,3,0.024,3
S3_to_S4,-0.08,0.08,-0.16,2,0,2,50,57,validation,29,18,0,0.0,1,0.02,-1
S3_to_S4,0.0,0.016,-0.016,8,0,8,125,57,test,87,27,2,0.016,1,0.008,1
S1_to_S4,-0.1,0.12,-0.22,2,4,-2,50,57,validation,26,11,3,0.06,6,0.12,-3
S1_to_S4,-0.12,0.096,-0.216,2,12,-10,125,57,test,80,14,9,0.072,12,0.096,-3
S0_to_S1,-0.2,0.14,-0.34,11,0,11,50,58,validation,23,8,3,0.06,8,0.16,-5
S0_to_S1,0.128,-0.168,0.296,27,0,27,125,58,test,80,13,10,0.08,5,0.04,5
S1_to_S2,0.32,-0.26,0.58,0,4,-4,50,58,validation,23,11,9,0.18,3,0.06,6
S1_to_S2,-0.144,0.168,-0.312,2,11,-9,125,58,test,80,17,5,0.04,10,0.08,-5
S2_to_S3,-0.14,0.08,-0.22,1,3,-2,50,58,validation,29,11,3,0.06,3,0.06,0
S2_to_S3,0.128,-0.232,0.36,8,7,1,125,58,test,81,18,8,0.064,4,0.032,4
S3_to_S4,-0.04,0.06,-0.1,0,0,0,50,58,validation,30,16,2,0.04,2,0.04,0
S3_to_S4,-0.048,0.072,-0.12,2,8,-6,125,58,test,89,26,0,0.0,0,0.0,0
S1_to_S4,0.14,-0.12,0.26,0,6,-6,50,58,validation,25,11,7,0.14,1,0.02,6
S1_to_S4,-0.064,0.008,-0.072,1,15,-14,125,58,test,86,16,3,0.024,4,0.032,-1
