arm,seed,train_vote_accuracy,validation_vote_accuracy,test_vote_accuracy,test_correct_count,g_min,g_sum,accepted_updates,training_provider_calls,training_total_tokens,validation_provider_calls,test_provider_calls,generic_revision_committed,m2f_repair_committed
S0,56,0.6666666666666666,0.66,0.688,86,0,0,0,0,0,50,125,0,0
S1,56,0.6666666666666666,0.64,0.68,85,0,15,3,1799,622178,150,375,3,0
S2,56,0.76,0.68,0.736,92,0,16,4,1651,674782,200,500,2,0
S3,56,0.76,0.6,0.688,86,0,14,3,2156,608347,200,500,0,0
S4,56,0.72,0.6,0.696,87,0,11,4,1793,526935,200,500,0,0
S0,57,0.68,0.66,0.68,85,0,0,0,0,0,50,125,0,0
S1,57,0.8266666666666667,0.64,0.736,92,1,30,5,3308,1192445,250,625,5,0
S2,57,0.68,0.62,0.68,85,0,10,2,1574,583363,150,375,2,0
S3,57,0.7466666666666667,0.6,0.704,88,0,11,4,1709,491540,200,500,0,0
S4,57,0.76,0.58,0.712,89,0,13,4,1790,493420,250,625,0,0
S0,58,0.6666666666666666,0.62,0.68,85,0,0,0,0,0,50,125,0,0
S1,58,0.7466666666666667,0.52,0.72,90,3,27,5,2478,800710,250,625,2,0
S2,58,0.6666666666666666,0.64,0.68,85,0,7,2,1876,768757,100,250,2,0
S3,58,0.7466666666666667,0.64,0.712,89,0,12,3,1712,487373,200,500,0,0
S4,58,0.7466666666666667,0.64,0.712,89,0,13,4,1869,620887,200,500,0,0
