arm,seed,generic_revision_attempted,generic_revision_feasible,generic_revision_committed,repair_eligible,repair_attempted,repair_valid,repair_feasible,repair_committed
S0,56,0,0,0,0,0,0,0,0
S1,56,14,3,3,0,0,0,0,0
S2,56,12,8,2,0,0,0,0,0
S3,56,0,0,0,0,0,0,0,0
S4,56,0,0,0,7,7,0,3,0
S0,57,0,0,0,0,0,0,0,0
S1,57,24,7,5,0,0,0,0,0
S2,57,10,3,2,0,0,0,0,0
S3,57,0,0,0,0,0,0,0,0
S4,57,0,0,0,4,4,0,0,0
S0,58,0,0,0,0,0,0,0,0
S1,58,17,8,2,0,0,0,0,0
S2,58,12,3,2,0,0,0,0,0
S3,58,0,0,0,0,0,0,0,0
S4,58,0,0,0,7,7,0,2,0
