arm,seed,update_index,team_state_hash,selected_target_ids,train_vote_accuracy,g_min,g_sum,accepted_update_count
S0,56,-1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,[],0.6666666666666666,0,0,0
S1,56,-1,,[],0.6666666666666666,0,0,0
S1,56,0,,[],0.6666666666666666,0,5,1
S1,56,1,,[],0.6666666666666666,0,5,1
S1,56,2,,[],0.6666666666666666,0,9,2
S1,56,3,,[],0.6666666666666666,0,9,2
S1,56,4,,[],0.6666666666666666,0,15,3
S1,56,5,,[],0.6666666666666666,0,15,3
S1,56,6,,[],0.6666666666666666,0,15,3
S1,56,7,,[],0.6666666666666666,0,15,3
S2,56,-1,,[],0.6666666666666666,0,0,0
S2,56,0,,[],0.6666666666666666,0,5,1
S2,56,1,,[],0.6666666666666666,0,5,1
S2,56,2,,[],0.6666666666666666,0,10,2
S2,56,3,,[],0.6666666666666666,0,10,2
S2,56,4,,[],0.7333333333333333,0,13,3
S2,56,5,,[],0.7333333333333333,0,13,3
S2,56,6,,[],0.7333333333333333,0,13,3
S2,56,7,,[],0.76,0,16,4
S3,56,-1,,[],0.6666666666666666,0,0,0
S3,56,0,,[],0.6666666666666666,0,3,1
S3,56,1,,[],0.6666666666666666,0,9,2
S3,56,2,,[],0.76,0,14,3
S3,56,3,,[],0.76,0,14,3
S3,56,4,,[],0.76,0,14,3
S3,56,5,,[],0.76,0,14,3
S3,56,6,,[],0.76,0,14,3
S3,56,7,,[],0.76,0,14,3
S4,56,-1,,[],0.6666666666666666,0,0,0
S4,56,0,,[],0.6666666666666666,0,5,1
S4,56,1,,[],0.6666666666666666,0,5,1
S4,56,2,,[],0.6666666666666666,0,6,2
S4,56,3,,[],0.72,0,10,3
S4,56,4,,[],0.72,0,10,3
S4,56,5,,[],0.72,0,11,4
S4,56,6,,[],0.72,0,11,4
S4,56,7,,[],0.72,0,11,4
S0,57,-1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,[],0.68,0,0,0
S1,57,-1,,[],0.68,0,0,0
S1,57,0,,[],0.68,0,8,1
S1,57,1,,[],0.68,0,16,2
S1,57,2,,[],0.8,0,23,3
S1,57,3,,[],0.8,0,29,4
S1,57,4,,[],0.8,0,29,4
S1,57,5,,[],0.8,0,29,4
S1,57,6,,[],0.8266666666666667,1,30,5
S1,57,7,,[],0.8266666666666667,1,30,5
S2,57,-1,,[],0.68,0,0,0
S2,57,0,,[],0.68,0,0,0
S2,57,1,,[],0.68,0,0,0
S2,57,2,,[],0.68,0,7,1
S2,57,3,,[],0.68,0,10,2
S2,57,4,,[],0.68,0,10,2
S2,57,5,,[],0.68,0,10,2
S2,57,6,,[],0.68,0,10,2
S2,57,7,,[],0.68,0,10,2
S3,57,-1,,[],0.68,0,0,0
S3,57,0,,[],0.68,0,3,1
S3,57,1,,[],0.68,0,7,2
S3,57,2,,[],0.68,0,7,2
S3,57,3,,[],0.7333333333333333,0,10,3
S3,57,4,,[],0.7333333333333333,0,10,3
S3,57,5,,[],0.7466666666666667,0,11,4
S3,57,6,,[],0.7466666666666667,0,11,4
S3,57,7,,[],0.7466666666666667,0,11,4
S4,57,-1,,[],0.68,0,0,0
S4,57,0,,[],0.68,0,3,1
S4,57,1,,[],0.68,0,3,1
S4,57,2,,[],0.68,0,5,2
S4,57,3,,[],0.7466666666666667,0,9,3
S4,57,4,,[],0.7466666666666667,0,9,3
S4,57,5,,[],0.76,0,13,4
S4,57,6,,[],0.76,0,13,4
S4,57,7,,[],0.76,0,13,4
S0,58,-1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,[],0.6666666666666666,0,0,0
S1,58,-1,,[],0.6666666666666666,0,0,0
S1,58,0,,[],0.6666666666666666,0,0,0
S1,58,1,,[],0.6666666666666666,0,4,1
S1,58,2,,[],0.6666666666666666,0,11,2
S1,58,3,,[],0.7066666666666667,0,16,3
S1,58,4,,[],0.7066666666666667,0,16,3
S1,58,5,,[],0.7333333333333333,0,19,4
S1,58,6,,[],0.7466666666666667,3,27,5
S1,58,7,,[],0.7466666666666667,3,27,5
S2,58,-1,,[],0.6666666666666666,0,0,0
S2,58,0,,[],0.6666666666666666,0,0,0
S2,58,1,,[],0.6666666666666666,0,0,0
S2,58,2,,[],0.6666666666666666,0,0,0
S2,58,3,,[],0.6666666666666666,0,0,0
S2,58,4,,[],0.6666666666666666,0,0,0
S2,58,5,,[],0.6666666666666666,0,5,1
S2,58,6,,[],0.6666666666666666,0,5,1
S2,58,7,,[],0.6666666666666666,0,7,2
S3,58,-1,,[],0.6666666666666666,0,0,0
S3,58,0,,[],0.6666666666666666,0,5,1
S3,58,1,,[],0.6666666666666666,0,5,1
S3,58,2,,[],0.6666666666666666,0,5,1
S3,58,3,,[],0.6666666666666666,0,10,2
S3,58,4,,[],0.7466666666666667,0,12,3
S3,58,5,,[],0.7466666666666667,0,12,3
S3,58,6,,[],0.7466666666666667,0,12,3
S3,58,7,,[],0.7466666666666667,0,12,3
S4,58,-1,,[],0.6666666666666666,0,0,0
S4,58,0,,[],0.6666666666666666,0,6,1
S4,58,1,,[],0.6666666666666666,0,10,2
S4,58,2,,[],0.7333333333333333,0,13,3
S4,58,3,,[],0.7333333333333333,0,13,3
S4,58,4,,[],0.7466666666666667,0,13,4
S4,58,5,,[],0.7466666666666667,0,13,4
S4,58,6,,[],0.7466666666666667,0,13,4
S4,58,7,,[],0.7466666666666667,0,13,4
