parent_id,arm,target_member,branch_type,canonical_branch_key,shared_branch_reuse_count,source_candidate_count,valid_source_count,valid_revision_count,feasible_candidate_count,produced_cell_best,cell_would_commit,realized_validation_vote_delta,realized_validation_oracle_delta
prospective_seed56_p1_u2,HYBRID_EXPLOIT_EXPLORE,4,exploit,2ca301ed07b348c7c67d9ba06abac0693c26aaee1b26cec13c0600889535a1f4,2,0,0,0,0,0,1,0,0
prospective_seed56_p1_u2,HYBRID_EXPLOIT_EXPLORE,0,explore,2189823ce33770365166769bacddc1ea2eb351a8139c58cdc690c4b474c4d37f,2,2,2,2,2,1,1,0,2
prospective_seed56_p1_u2,RR_TOP2,0,rr_first,2189823ce33770365166769bacddc1ea2eb351a8139c58cdc690c4b474c4d37f,2,2,2,2,2,1,1,0,2
prospective_seed56_p1_u2,RR_TOP2,1,rr_second,b0348a2c1eec807c248d74e448d98b9d37d72316d0d35cd789b5b06e74ff94c8,1,0,0,0,0,0,1,0,0
prospective_seed56_p1_u2,W1_TOP2,4,exploit,2ca301ed07b348c7c67d9ba06abac0693c26aaee1b26cec13c0600889535a1f4,2,0,0,0,0,0,0,0,0
prospective_seed56_p1_u2,W1_TOP2,3,w1_second,f255f44e17d51e90e67846ef8420d4b004835fe511a76ee9bbf97adff0377679,1,0,0,0,0,0,0,0,0
prospective_seed56_p2_u6,HYBRID_EXPLOIT_EXPLORE,3,exploit,e1215467439f909970afbec11149d3339938735a70f4b80645130da1c75bba48,3,0,0,0,0,0,0,0,0
prospective_seed56_p2_u6,HYBRID_EXPLOIT_EXPLORE,4,explore,23e704b409b700579c9046ed76b07a7ede1712e1aa51adf4c6988800daed3993,2,0,0,0,0,0,0,0,0
prospective_seed56_p2_u6,RR_TOP2,3,rr_first,e1215467439f909970afbec11149d3339938735a70f4b80645130da1c75bba48,3,0,0,0,0,0,0,0,0
prospective_seed56_p2_u6,RR_TOP2,4,rr_second,23e704b409b700579c9046ed76b07a7ede1712e1aa51adf4c6988800daed3993,2,0,0,0,0,0,0,0,0
