parent_id,arm,target_member,branch_type,candidate_id,candidate_stage,valid,feasible,common_safe_outcome,sanitized_rejection_reasons,train_target_delta,train_vote_delta,train_oracle_delta,validation_target_delta,validation_vote_delta,validation_oracle_delta,validation_vote_gain_count,validation_vote_loss_count,validation_oracle_gain_count,validation_oracle_loss_count,wrong_coalition_reduced_count,wrong_coalition_increased_count,branch_rank,cell_rank,selected_as_cell_winner,would_commit_contribution
prospective_seed56_p1_u2,RR_TOP2,0,rr_first,9753bd80807b7ecd6faa9706ecc5ade6d7e2807596082d4585c49fc8d1c21af0,source,1,0,rejected,no_target_or_vote_progress|target_regression,-1,0,1,-4,0,0,0,0,0,0,3,6,,,0,0
prospective_seed56_p1_u2,RR_TOP2,0,rr_first,f21d7431297fc4b6571b01dc67f72219ee14cf5df536b073967681920934e8d1,source,1,0,rejected,no_target_or_vote_progress|target_regression,-2,0,2,-3,0,0,0,0,0,0,2,5,,,0,0
prospective_seed56_p1_u2,RR_TOP2,0,rr_first,b1aa29b9063f57d78a78c4f3e0b7bc266ffd28b7cf548a1e2367c9174c978d12,revision,1,1,passed,,7,0,5,0,0,2,0,0,2,0,7,7,1,1,1,1
prospective_seed56_p1_u2,RR_TOP2,0,rr_first,efc4097277088038cfd738ef3e70eb0b2783d7117816a490800215288fa04003,revision,1,1,passed,,5,0,2,-4,0,0,0,0,0,0,4,7,2,,0,0
prospective_seed56_p1_u2,HYBRID_EXPLOIT_EXPLORE,0,explore,9753bd80807b7ecd6faa9706ecc5ade6d7e2807596082d4585c49fc8d1c21af0,source,1,0,rejected,no_target_or_vote_progress|target_regression,-1,0,1,-4,0,0,0,0,0,0,3,6,,,0,0
prospective_seed56_p1_u2,HYBRID_EXPLOIT_EXPLORE,0,explore,f21d7431297fc4b6571b01dc67f72219ee14cf5df536b073967681920934e8d1,source,1,0,rejected,no_target_or_vote_progress|target_regression,-2,0,2,-3,0,0,0,0,0,0,2,5,,,0,0
prospective_seed56_p1_u2,HYBRID_EXPLOIT_EXPLORE,0,explore,b1aa29b9063f57d78a78c4f3e0b7bc266ffd28b7cf548a1e2367c9174c978d12,revision,1,1,passed,,7,0,5,0,0,2,0,0,2,0,7,7,1,1,1,1
prospective_seed56_p1_u2,HYBRID_EXPLOIT_EXPLORE,0,explore,efc4097277088038cfd738ef3e70eb0b2783d7117816a490800215288fa04003,revision,1,1,passed,,5,0,2,-4,0,0,0,0,0,0,4,7,2,,0,0
prospective_seed57_p1_u2,W1_TOP2,2,exploit,991bb71fe53fab83d2a9da02fc6d75ee224d59992b1d2167efe0e493d284f8de,source,1,0,rejected,no_target_or_vote_progress|target_regression,-9,0,5,0,0,4,0,0,4,0,4,4,,,0,0
prospective_seed57_p1_u2,W1_TOP2,2,exploit,490f80b397268af18cf11e447499be0900b5986fcb491440d77ed6ad6c64c818,source,1,0,rejected,no_target_or_vote_progress,0,0,8,-2,0,2,0,0,2,0,3,4,,,0,0
