group,branch_count,valid_source_branch_count,valid_source_count,feasible_branch_count,feasible_candidate_count,branch_winner_count,cell_winner_count,critic_exhausted_count,positive_validation_vote_count,positive_validation_oracle_count,mean_historical_target_count
A,12,6,11,4,9,4,3,6,1,1,1.5833333333333333
B,12,3,6,1,3,1,1,9,0,0,1.4166666666666667
C,12,4,7,3,3,3,3,8,1,1,1.5833333333333333
D,12,6,11,2,5,2,2,6,0,2,1.4166666666666667
RR,24,10,18,7,12,7,6,14,2,2,1.5833333333333333
W1,24,9,17,3,8,3,3,15,0,2,1.4166666666666667
rr_only,14,4,7,4,7,4,3,10,2,1,1.4285714285714286
w1_only,14,7,13,3,8,3,3,7,0,2,1.1428571428571428
overlap,20,8,15,3,5,3,3,12,0,1,1.8
rank_1,16,7,13,2,4,2,2,9,0,1,1.5
rank_2,18,8,15,4,9,4,4,10,0,2,1.5555555555555556
rank_3,10,3,6,3,6,3,3,7,2,1,1.0
rank_4,4,1,1,1,1,1,0,3,0,0,2.5
rank_5,0,0,0,0,0,0,0,0,0,0,
w1_rank_1,12,5,10,1,3,1,1,7,0,1,1.5
w1_rank_2,12,4,7,2,5,2,2,8,0,1,1.3333333333333333
w1_rank_3,0,0,0,0,0,0,0,0,0,0,
w1_rank_4,0,0,0,0,0,0,0,0,0,0,
w1_rank_5,0,0,0,0,0,0,0,0,0,0,
