seed,arm,update_index,target_agent_id,critic_response_count,original_student_reached,safety_only_student_reach_lower_bound,safety_only_student_reach_upper_bound,branch_category_set
59,HYBRID_BASE,0,3,2,False,False,False,OUTPUT_CONTRACT
59,HYBRID_BASE,0,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,HYBRID_BASE,1,1,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+OUTPUT_CONTRACT
59,HYBRID_BASE,1,2,1,True,True,True,
59,HYBRID_BASE,2,2,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
59,HYBRID_BASE,2,3,2,True,True,True,OUTPUT_CONTRACT
59,HYBRID_BASE,3,0,1,True,True,True,
59,HYBRID_BASE,3,1,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,HYBRID_BASE,4,2,2,True,True,True,SEMANTIC_QUALITY_ONLY
59,HYBRID_BASE,4,4,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
59,HYBRID_BASE,5,0,2,True,True,True,SEMANTIC_QUALITY_ONLY
59,HYBRID_BASE,5,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,HYBRID_BASE,6,1,2,True,True,True,SEMANTIC_QUALITY_ONLY
59,HYBRID_BASE,6,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,HYBRID_BASE,7,3,1,True,True,True,
59,HYBRID_BASE,7,4,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,W1_TOP2,0,3,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,W1_TOP2,0,4,1,True,True,True,
59,W1_TOP2,1,0,2,True,True,True,SEMANTIC_QUALITY_ONLY
59,W1_TOP2,1,2,1,True,True,True,
59,W1_TOP2,2,0,2,False,True,True,SEMANTIC_QUALITY_ONLY
59,W1_TOP2,2,1,2,False,True,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION+SEMANTIC_QUALITY_ONLY
59,W1_TOP2,3,1,2,False,False,True,AMBIGUOUS_OUTPUT_VS_PRESERVATION
59,W1_TOP2,3,3,2,False,True,True,SEMANTIC_QUALITY_ONLY
