dimension,value,branch_count,first_plan_unsafe_rate,final_plan_unsafe_rate,critic_pass_rate
arm,HYBRID_BASE,48,0.9375,0.9375,0.3125
arm,W1_TOP2,48,0.9583333333333334,0.9583333333333334,0.25
seed,59,32,1.0,1.0,0.375
seed,60,32,0.96875,0.96875,0.1875
seed,61,32,0.875,0.875,0.28125
target_member,0,20,0.95,0.95,0.15
target_member,1,17,1.0,1.0,0.23529411764705882
target_member,2,21,0.9523809523809523,0.9523809523809523,0.3333333333333333
target_member,3,19,0.8421052631578947,0.8421052631578947,0.42105263157894735
target_member,4,19,1.0,1.0,0.2631578947368421
selected_case_count,3,96,0.9479166666666666,0.9479166666666666,0.28125
selected_pattern_count,3,96,0.9479166666666666,0.9479166666666666,0.28125
context_mode,generic_peer_state,96,0.9479166666666666,0.9479166666666666,0.28125
module2_context_variant,c0_current_v15,96,0.9479166666666666,0.9479166666666666,0.28125
