seed,arm,update_index,parent_team_hash,target_member,target_selection_rank,candidate_id,candidate_stage,source_slot,generation_key,valid,feasible,common_safe_outcome,sanitized_rejection_reasons,target_gain,vote_gain_count,vote_loss_count,vote_net_gain,selected_as_branch_winner,winner,branch_rank,cell_rank
59,W1_TOP2,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,4,2,6181f3aaf41b7ace5aac9a89359b07e00605473637d55543081503e911b1cf77,revision,1,82b18bc55b40881ffd67a95d4a1514483dbe9c67dabb3dfd8a62acd32053618a,True,True,passed,[],9,0,0,0,True,True,1,1
59,W1_TOP2,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,4,2,681fc79f92cc1fd37d9c899bb08f82c5ca9dad324d9b628b336ada9d73c7314e,revision,2,a6a43c8c6d706b2d71f5cded783aaa5970f232248909bc6aaceb03cdadac5017,True,True,passed,[],5,0,0,0,False,False,3,NA
59,W1_TOP2,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,4,2,8e39cfd1fb1fdd94c1ef52bafbc8d45d18e61d801c89203db5e53e172d5d1797,source,1,f3f357c89b8dc4c01c498e669d1451d401e1a5227cd8d1f0860f59b6bab4fc5e,True,True,passed,[],1,0,0,0,False,False,4,NA
59,W1_TOP2,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,4,2,bff7e9d9019b90e3360407899da1591db8b9eed285b16d40e4ad8562b26872bc,source,2,f5b042961f98445d82a4b85f04f4902e00ead321ea4137f1b21d089221373f67,True,True,passed,[],5,0,0,0,False,False,2,NA
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,2,1,0f17e1ff684488f671e23e66b822ca3acef3917809ca3b8e8aef11a24322a386,source,1,1e4adb74ac2bbc337dd1813c71ed9c240311512bf00b69471b34eda938325d55,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-4,0,0,0,False,False,NA,NA
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,2,1,153b7442a99983556593621ba1924853ab317439c8ce8105ee89cf9654f85dc6,revision,1,b0ce46a92ed8316a6b0b2ae81f3b298e3bc800100b0d7e78f45fde43785b48d4,True,True,passed,[],1,0,0,0,False,False,2,NA
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,2,1,2ae723adaf9ebf654c14b7c74fbb52dda76273ef72fe7e8929acde6ddb87e688,source,2,b7e588b8ba229c53ae6719da27ec832c9a875ee8625515b31e5235542c70da07,True,True,passed,[],4,0,0,0,True,True,1,1
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,2,1,2e6efb105e454e77aba153b81f39f5722c32fd514f78021771d93050e7545f3c,revision,2,c218c7bf26797cc4ceffe1fa6bdcb4f69c146f8f2ee19277a9d505ac2a96d886,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-3,0,0,0,False,False,NA,NA
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,0,2,9c7ebe256c9aea0b5fa896f6724cebbb01aaeede5f884dcf7fcbf84c32a9ae41,source,1,88e78050ce6df54f784bd86070d0f067d60cb49debc5df5f7efdfda9d95f87b7,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-4,0,0,0,False,False,NA,NA
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,0,2,b49cf3c2d7f7b19cb595c9caa076155ac9db1145eab18ad78888a7337887f764,revision,1,bd705ece869e7fa1d477b6856de7761a72f64dfb1d7ccc1d37b90022437a5e01,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-3,0,0,0,False,False,NA,NA
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,0,2,bb2fabdc85ba310e1a8fce16f827a6b53433ba9bb9e4264b45bc8bd31ef264e9,revision,2,360dd8ecb9b1451a61fb1eb31e9c0020747da77b999c6df8fecc262e320bb509,True,True,passed,[],3,0,0,0,True,False,1,2
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,0,2,ed6b6d9c030207d45113e8e6d49e0d0804ef32499668049067143d32be82b583,source,2,a3df56d01aec6d287deb404b66792987ada659aa9e100cb666e24e29f4ecacc4,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-1,0,0,0,False,False,NA,NA
59,W1_TOP2,6,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,4,2,1ae7dea0af71a767cef60c53c9941a6fe53f31ed5ccea7d36b58b31f7782deea,revision,1,c628773f16db2c052d9e89a7db27fcd431ff151f3475a7f90581d0b274a25aee,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-3,0,0,0,False,False,NA,NA
59,W1_TOP2,6,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,4,2,60dfb986ba23e05541185af589de7932f063061506c72885e6a5b9a7bf1a84e3,source,1,1cb6b9c29b420e879e8c78e988983b30a79b98cbb69daf10521059fd545b82eb,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-6,0,0,0,False,False,NA,NA
59,W1_TOP2,6,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,4,2,703d5d324a1176a9e7de2f03e1f0a3dfdd2aa9274f9a38e2ee33dde382dfb81f,revision,2,8fa6ba4b60be95ce0a89c636af1c442f6dc81e1f3598adc6db914ac388e90ded,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-2,0,0,0,False,False,NA,NA
59,W1_TOP2,6,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,4,2,cb07d167e54c0f8b3d94e12c54a5c4ca48dd3f3d869d18da7af4d078330ef349,source,2,5d3f343c50f0596d9ff3d60720dea9b51bc3df514e95054d2168f26c877c0250,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-7,0,0,0,False,False,NA,NA
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,2,1ce1f3fac148cf15c5e61304e20223ab67e78a034be87e3cebf00075ac33db1a,revision,1,dd995e36f386009988025e25049839bbd6fc98ce9596655c4f10a426d90d46a4,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-16,3,3,0,False,False,NA,NA
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,2,32f9c54d753e7b7cfe5c7f3fde9643c721bbd71db75330e422d2bcc2ac6f513a,revision,2,824d28f9d6109bcc40b9010982de86e0a0707b9ff3b015e33cd0e379e251d698,True,False,rejected,['target_regression'],-1,5,3,2,False,False,NA,NA
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,2,49e5f9b7e802c3ac297757304ba5b5320003f5d3a75c0fc3507f31470bf7812a,source,1,3165be9fed019662784f465a85e1668052dfc22635431c77cdfcbf2ed883a89e,True,False,rejected,['target_regression'],-4,4,2,2,False,False,NA,NA
