seed,arm,update_index,parent_team_hash,successor_team_hash,target1,target2,target1_selector_type,target2_selector_type,feasible_branch_count,feasible_candidate_count,committed,committed_target,train_target_delta,train_vote_delta,train_oracle_delta,validation_target_delta,validation_vote_delta,validation_oracle_delta,responsibility_refresh_count_before,responsibility_refresh_count_after,validation_state_index_before,validation_state_index_after,validation_evaluated
59,W1_TOP2,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,3,4,W1_RANK1,W1_RANK2,1,4,True,4,9,0,15,-3,0,6,0,2,0,1,True
59,W1_TOP2,1,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,2,0,W1_RANK1,W1_RANK2,2,3,True,2,4,0,4,2,0,2,2,3,1,2,True
59,W1_TOP2,2,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,0,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
59,W1_TOP2,3,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,3,1,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
59,W1_TOP2,4,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,0,2,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
59,W1_TOP2,5,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,3,1,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
59,W1_TOP2,6,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,0,4,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,3,1,W1_RANK1,W1_RANK2,0,0,False,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,False
59,HYBRID_BASE,0,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,4,W1_RANK1,RESPONSIBILITY_RR,0,0,False,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,False
59,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,2,1,W1_RANK1,RESPONSIBILITY_RR,1,2,True,2,1,0,8,-6,0,2,1,2,0,1,True
59,HYBRID_BASE,2,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,2,3,W1_RANK1,RESPONSIBILITY_RR,1,4,True,3,7,0,8,-3,0,1,2,3,1,2,True
