seed,update_index,candidate_hash,target_member,candidate_stage,target_gain,vote_gain_count,vote_loss_count,vote_net_gain,coverage_gain_count,coverage_loss_count,dominant_wrong_exit_count,dominant_wrong_join_count,soft_utility_delta,minimum_gain_count,total_gain_count,unique_correct_loss_count,pivotal_correct_loss_count,branch_rank,cell_rank,selected_winner,validation_cache_rows,validation_evidence_status,posthoc_validation_target_delta,posthoc_validation_vote_delta,posthoc_validation_oracle_delta
68,0,0058a97cda40040f0f96498b060e21d3181c9303c289b4eb411d3f315da04a28,0,revision,4,0,0,0,11,0,11,7,0.003154045989070152,0,4,0,0,2,1,True,50,complete_selected_winner,4,0,8
68,0,23ca28fcf0185bc091f9daf046ce0749fe86e8d0ff3b415ff2cb366fc283785e,0,source,1,0,0,0,8,0,8,7,0.0012570110619674797,0,1,0,0,3,,False,0,unobserved,,,
68,0,68ee99bf04fbbdea76979205365c6d3a9aedbd326a4e9d40c35a0d2acf38f3d5,0,source,4,0,0,0,10,0,10,6,0.003064807976746353,0,4,0,0,1,,False,0,unobserved,,,
68,2,4256627b16d6c685c5748118ada554e83c30ada6cc28493ee1ec2f1570136813,2,source,7,0,0,0,3,0,12,5,0.020942498534931363,0,11,0,0,2,,False,0,unobserved,,,
68,2,9d80f95dfc3511b66b8c023a855e54c0ab783571b66b82f2c06874b65d2c1fc9,2,source,4,0,0,0,4,0,11,6,0.010717708258296753,0,8,0,0,3,,False,0,unobserved,,,
68,2,cb01bda0cb89ca5703dcc1c7131711f21fff33d24f1ec62a569ca350b4fa9e9d,2,revision,11,0,0,0,5,0,16,5,0.03293513712984181,0,15,0,0,1,1,True,50,complete_selected_winner,2,0,1
68,2,ce9e51ec305ee2683f20a13bdf239d1519338783ee8d678381df0404252d61bf,2,revision,3,0,0,0,7,0,15,12,0.009071367659413455,0,7,0,0,4,,False,0,unobserved,,,
68,3,06b2a792d75b0d4b487489153be296a320b3fd892cb22129d50b51a3cbc6c9d3,4,revision,7,8,0,8,1,0,13,5,0.04979565514127509,0,22,0,0,1,1,True,50,complete_selected_winner,1,3,0
68,3,7d7fcb4f718e47538c065d7a6618cec7b8866fa3fdeb7661ae8818f669c8b459,4,source,2,8,0,8,2,0,13,11,0.03416016262284298,0,17,0,0,2,,False,0,unobserved,,,
68,4,0dd896c468da6989a41d5aba4b43a363ccdaf1a3739fb3f9378e661afe44488c,3,source,3,4,1,3,0,0,13,8,0.02838284802181606,0,25,0,1,2,,False,0,unobserved,,,
68,4,75865a05e3d6c4ddb3c3907b7602dae65f9b428cab67fea8e95cf9e618759e9d,3,source,7,5,1,4,1,0,15,7,0.04041348901023707,0,29,0,1,1,1,True,50,complete_selected_winner,1,0,0
68,6,241d90b8dc0149a46298bdeeecb29de95ff52a9418bffa1680276e7f6d0e185a,1,source,4,1,0,1,0,0,10,5,0.008875150710693103,4,33,0,0,1,1,True,50,complete_selected_winner,-5,-2,0
69,0,5f47b141005b735b1a2d0cd46b32a675efccf7f53654620ec1a74eb9f4e6aedc,0,revision,6,0,0,0,14,0,14,8,0.004507973952795732,0,6,0,0,2,,False,0,unobserved,,,
69,0,7a952a4fc143163be3a88d7c2c17f5db1168018131c0f3ffa363a9f8f8fd5714,0,source,3,0,0,0,10,0,12,7,0.0025217010133692613,0,3,0,0,4,,False,0,unobserved,,,
69,0,8288680078056dce40a68216cba420ca11eee65194a5b3613b3bd81448708ebf,0,revision,8,0,0,0,14,0,15,6,0.005594187879549916,0,8,0,0,1,1,True,50,complete_selected_winner,5,0,6
69,0,ce49bad06b7e01371bc4b03d9da25e52be5330b0ab81ba0d6e2c2741de62fa3f,0,source,4,0,0,0,10,0,12,6,0.003064807976746353,0,4,0,0,3,,False,0,unobserved,,,
69,1,084729637018dfa6bb0c29e5bceed829d889c7dca2f236d5bd2b6d635962c723,1,source,6,0,0,0,3,0,14,8,0.02522025892993151,0,14,0,0,1,1,True,50,complete_selected_winner,0,0,1
69,1,e19b0c77797c57d49e66aa3868c725a1f32b4d784a3b7a819ec27c045906fced,1,source,3,0,0,0,2,0,13,8,0.01963785998702654,0,11,0,0,2,,False,0,unobserved,,,
69,2,8664c0bd6ccaea36a5f5b24f1b4edd369625a7eab3252a48edd88dbf26a95e4f,4,source,6,7,0,7,1,0,10,4,0.04749793308492485,0,20,0,0,2,,False,0,unobserved,,,
69,2,a1a09f9759ba4289646e394c113c49acde7e00337179c3cc6d0b332a16457ce6,4,revision,3,9,1,8,1,0,12,9,0.04184533261146213,0,17,0,1,1,1,True,50,complete_selected_winner,3,2,1
69,2,c7a9306f5c589a9a4e3cd936654c4b0073a95d977fa4c01183c6c84433b86d77,4,source,1,6,1,5,1,0,9,8,0.03354548800119332,0,15,0,1,3,,False,0,unobserved,,,
69,3,63d0fc22fb7154bd5777999f3d61d77e1f183a42c61a91b4350c2d7ad6c1c8b9,2,revision,4,2,1,1,1,0,12,8,0.02192880271983667,0,21,0,1,1,1,True,50,complete_selected_winner,5,3,2
