seed,arm,update_index,target_branches,teacher_plans,critic_approvals,critic_rejections,hard_gate_passes,hard_gate_rejections,student_reaches,strict_valid_candidates,feasible_candidates,committed,committed_target,train_vote_gain,train_vote_loss,train_vote_delta,train_target_delta,validation_vote_delta,validation_oracle_delta,validation_target_delta
69,A_CANONICAL,0,2,3,1,2,0,0,1,2,1,True,2,0,0,0,2,0,2,-7
69,A_CANONICAL,2,2,4,1,3,0,0,1,2,4,True,1,0,0,0,4,0,1,-6
69,A_CANONICAL,7,2,4,1,3,0,0,1,2,3,True,0,5,0,5,4,-3,0,-6
69,C_NO_SEMANTIC_CRITIC,0,2,2,2,0,2,0,2,4,4,True,0,0,0,0,8,0,6,5
69,C_NO_SEMANTIC_CRITIC,1,2,3,1,2,1,2,1,2,2,True,1,0,0,0,6,0,1,0
69,C_NO_SEMANTIC_CRITIC,2,2,3,1,2,1,2,1,2,3,True,4,8,0,8,3,2,1,3
69,C_NO_SEMANTIC_CRITIC,3,2,3,1,2,1,2,1,2,2,True,2,1,0,1,4,3,2,5
69,C_NO_SEMANTIC_CRITIC,5,2,2,2,0,2,0,2,4,4,True,4,1,0,1,6,-1,-1,-6
69,C_NO_SEMANTIC_CRITIC,6,2,2,2,0,2,0,2,4,3,True,2,1,0,1,4,0,-1,-6
70,A_CANONICAL,3,2,4,1,3,0,0,1,2,2,True,4,0,0,0,11,0,5,0
70,A_CANONICAL,4,2,4,1,3,0,0,1,1,1,True,2,0,0,0,5,0,2,-2
70,C_NO_SEMANTIC_CRITIC,0,2,3,1,2,1,2,1,2,1,True,2,0,0,0,2,0,5,2
70,C_NO_SEMANTIC_CRITIC,3,2,2,2,0,2,0,2,4,1,True,3,0,0,0,1,0,0,-4
70,C_NO_SEMANTIC_CRITIC,4,2,3,1,2,1,2,1,2,3,True,4,3,0,3,13,0,1,-2
70,C_NO_SEMANTIC_CRITIC,5,2,2,2,0,2,0,2,4,7,True,0,8,0,8,9,-1,2,-2
