seed,arm,update_index,target_branches,teacher_plans,critic_approvals,critic_rejections,hard_gate_passes,hard_gate_rejections,student_reaches,strict_valid_candidates,feasible_candidates,committed,committed_target,train_vote_gain,train_vote_loss,train_vote_delta,train_target_delta,validation_vote_delta,validation_oracle_delta,validation_target_delta
68,A_CANONICAL,0,2,3,1,2,0,0,1,2,1,True,3,0,0,0,2,0,3,-5
68,A_CANONICAL,1,2,4,1,3,0,0,1,2,1,True,4,0,0,0,1,0,3,-3
68,A_CANONICAL,2,2,5,0,4,0,0,0,0,0,False,,0,0,0,,,,
68,A_CANONICAL,3,2,5,0,4,0,0,0,0,0,False,,0,0,0,,,,
68,A_CANONICAL,4,2,4,0,4,0,0,0,0,0,False,,0,0,0,,,,
68,A_CANONICAL,5,2,4,0,4,0,0,0,0,0,False,,0,0,0,,,,
68,A_CANONICAL,6,2,4,0,4,0,0,0,0,0,False,,0,0,0,,,,
68,A_CANONICAL,7,2,4,0,4,0,0,0,0,0,False,,0,0,0,,,,
68,C_NO_SEMANTIC_CRITIC,0,2,2,2,0,2,0,2,4,3,True,0,0,0,0,4,0,8,4
68,C_NO_SEMANTIC_CRITIC,1,2,2,2,0,2,0,2,4,0,False,,0,0,0,,,,
68,C_NO_SEMANTIC_CRITIC,2,2,2,2,0,2,0,2,4,4,True,2,0,0,0,11,0,1,2
68,C_NO_SEMANTIC_CRITIC,3,2,3,1,2,1,2,1,2,2,True,4,8,0,8,7,3,0,1
68,C_NO_SEMANTIC_CRITIC,4,2,2,2,0,2,0,2,4,2,True,3,4,0,4,7,0,0,1
68,C_NO_SEMANTIC_CRITIC,5,2,3,1,2,1,2,1,2,0,False,,0,0,0,,,,
68,C_NO_SEMANTIC_CRITIC,6,2,2,2,0,2,0,2,4,1,True,1,1,0,1,4,-2,0,-5
68,C_NO_SEMANTIC_CRITIC,7,2,2,2,0,2,0,2,2,0,False,,0,0,0,,,,
