seed,update_index,candidate_hash,target_member,candidate_stage,target_gain,vote_gain_count,vote_loss_count,vote_net_gain,coverage_gain_count,coverage_loss_count,dominant_wrong_exit_count,dominant_wrong_join_count,soft_utility_delta,minimum_gain_count,total_gain_count,unique_correct_loss_count,pivotal_correct_loss_count,branch_rank,cell_rank,selected_winner,validation_cache_rows,validation_evidence_status,posthoc_validation_target_delta,posthoc_validation_vote_delta,posthoc_validation_oracle_delta
71,0,34a074041e797eb6ab83eb3528f81c2612dde3d6c651d176ec621c04f2cc4b44,3,source,10,0,0,0,21,0,22,11,0.0073050678925706885,0,10,0,0,1,1,True,50,complete_selected_winner,4,0,8
71,1,4e8025523db33c51b47f8e9448c19dcd47c3f2924162c3d71bd0151bf1c69e2a,0,source,5,0,0,0,2,0,15,6,0.019813774515896537,0,15,0,0,1,1,True,50,complete_selected_winner,6,0,4
71,1,0a63aaf6cd8e2acd6a03ee08e9d0bb0ebf4e1fab8e1ec0da444c26a970519ec7,2,source,3,0,0,0,2,0,18,11,0.016317126909953725,0,13,0,0,2,,False,0,unobserved,,,
71,1,6c895d7128829c212bf3c116c85abdf4448a56f9d42fe5f1bdda667be87bce08,2,source,1,0,0,0,2,0,22,14,0.021965834977431466,0,11,0,0,3,,False,0,unobserved,,,
71,1,d0252f4c0ba3fe73c41fd5f253c38d94c08eeaffe7ce997afc056eac942b5fec,2,revision,4,0,0,0,3,0,19,10,0.014539038206465996,0,14,0,0,1,2,False,0,unobserved,,,
71,3,61b415f2c746b1f1e09923ddfa63be9ca64a4f68c03c69a0395551cb12c8d76d,2,source,1,5,0,5,1,0,12,9,0.03538450798594262,0,16,0,0,2,,False,0,unobserved,,,
71,3,8c7dec308fe20e36eff01fb36b9d334e0642ee9e7dca5ed2e4756091157c9cad,2,revision,1,4,1,3,3,0,12,8,0.020619727043183312,0,16,0,1,3,,False,0,unobserved,,,
71,3,a0f3e7d776c47c09d17e527454c0ee0678c0800ea2f3f3a2319fc4777e5ded2d,2,source,4,5,0,5,4,0,19,11,0.05495216644241143,0,19,0,0,1,2,False,0,unobserved,,,
71,3,4cf206e9e7ea86b43c973269ec83d8bd75969ed76dfef5bd49e30764cfaceac9,4,source,5,8,4,4,1,0,17,9,0.03571986205769416,0,20,0,3,2,,False,0,unobserved,,,
71,3,f2fb22e06195e1b5e82efe22190a7ee6bdad64da7da6ee262845b2006f32bff4,4,source,10,7,1,6,2,0,20,6,0.05483689332379545,0,25,0,0,1,1,True,50,complete_selected_winner,5,2,2
71,3,fd86aee8d9c14f7591a828d6ad8a72158f381eee063d50a4b4c7cda176cf44d8,4,revision,3,6,4,2,1,0,15,10,0.024850144225355184,0,18,0,3,3,,False,0,unobserved,,,
71,4,8bcc96c93dfa750d903e0b9e26ebcc354b4ddd971a2e2b76f573d539b799e2d3,2,source,0,3,1,2,1,0,12,10,0.020170295220878553,0,25,0,1,1,2,False,0,unobserved,,,
71,4,62d987078dfd367255ba4656f83ec0b5bd85d5f4a4ffde7229f22a072e772e2b,1,source,18,8,3,5,2,0,25,4,0.0725922825192294,0,43,0,3,1,1,True,50,complete_selected_winner,4,2,2
71,5,441be67dd940d58adf4d092e90bb73843a8c7bb5e7b7ef5bb12847e062472706,2,source,10,3,2,1,2,0,20,8,0.024907543874923457,5,53,0,2,2,,False,0,unobserved,,,
71,5,49d133b6491e5ed85b0e2b497e4fdc90fb0af580ecd2d7910c864841b5227ff1,2,source,14,4,2,2,1,1,21,7,0.02677230909495739,5,57,1,2,1,1,True,50,complete_selected_winner,8,2,2
71,5,f0cc60d1be7ad31bb7ab094d643e3c6a4c46e1653f44f053650725a95a530af1,2,revision,3,3,3,0,1,1,13,9,-0.00290486651953006,3,46,1,2,3,,False,0,unobserved,,,
71,6,2af9d9372f567c65afe48167ba2e9399340b242dd70d86b34743fdbeefbc1b38,2,source,0,3,2,1,0,1,6,7,0.0016186491606061842,5,57,1,2,1,1,True,50,complete_selected_winner,-1,-2,0
