case_id,historical_status,arm,parent_hash,target_member,critic_decisions,critic_approvals,critic_api_calls,student_reached,student_calls,strict_valid_candidates,common_safe_feasible_candidates,would_commit,failed_checks,rejection_categories
seed59_blocked_u0_t3,blocked,canonical_llm,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,1,1,1,True,1,4,2,True,,approved
seed59_blocked_u0_t3,blocked,deterministic_safety_only,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,0,0,False,0,0,0,False,preservation_or_output_risk,explicit_output_contract
seed59_passed_u1_t2,passed,canonical_llm,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,2,0,2,False,0,0,0,False,preservation_or_output_risk,canonical_semantic_or_output_risk
seed59_passed_u1_t2,passed,deterministic_safety_only,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,2,0,0,False,0,0,0,False,preservation_or_output_risk,explicit_output_contract
seed60_blocked_u0_t0,blocked,canonical_llm,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,0,2,False,0,0,0,False,actionable_specificity,semantic_quality_or_schema
seed60_blocked_u0_t0,blocked,deterministic_safety_only,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,0,0,False,0,0,0,False,preservation_or_output_risk,explicit_output_contract
seed60_passed_u1_t3,passed,canonical_llm,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,0,2,False,0,0,0,False,preservation_or_output_risk,canonical_semantic_or_output_risk
seed60_passed_u1_t3,passed,deterministic_safety_only,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,0,0,False,0,0,0,False,preservation_or_output_risk,explicit_output_contract
seed61_blocked_u0_t0,blocked,canonical_llm,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,0,2,False,0,0,0,False,preservation_or_output_risk,canonical_semantic_or_output_risk
seed61_blocked_u0_t0,blocked,deterministic_safety_only,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,0,2,0,0,False,0,0,0,False,preservation_or_output_risk,explicit_output_contract
seed61_passed_u1_t3,passed,canonical_llm,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,0,2,False,0,0,0,False,preservation_or_output_risk,canonical_semantic_or_output_risk
seed61_passed_u1_t3,passed,deterministic_safety_only,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,0,0,False,0,0,0,False,shortcut_or_copying,anti_cheating
