seed,arm,update_index,transition_ordinal,parent_team_hash,successor_team_hash,committed_target,validation_state_before,validation_state_after,train_vote_delta,train_target_delta,validation_gain_count,validation_loss_count,validation_net_delta,validation_transfer_class,train_vote_progress_not_transferred,simultaneous_gain_and_loss
59,W1_TOP2,0,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,4,0,1,0,9,0,0,0,neutral,False,False
59,W1_TOP2,1,2,53ca870fc3dbd019fdbfc9d2ef418d57aa2a6a6d3ffc32c0b9bcb67a74153d8b,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,2,1,2,0,4,0,0,0,neutral,False,False
59,HYBRID_BASE,1,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,2,0,1,0,1,0,0,0,neutral,False,False
59,HYBRID_BASE,2,2,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,3,1,2,0,7,0,0,0,neutral,False,False
59,HYBRID_BASE,3,3,110e1ded567a914620f9b457e3d6b3a4b970d1358d529cc111a94f5fe4a4e3f8,ee700831d22cf497ac78a0d386343f8e04495889d7a98a5d9c51c6a15b0a156b,0,2,3,2,6,2,3,-1,negative,True,True
59,HYBRID_BASE,4,4,ee700831d22cf497ac78a0d386343f8e04495889d7a98a5d9c51c6a15b0a156b,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,2,3,4,0,2,0,0,0,neutral,False,False
59,HYBRID_BASE,5,5,c73d2bb9b0df443fc8bc740ca2be2aa3f899bf307da70c69f44276d050978237,0e9537d162d88fd91a16fa0d04ec3ee3e18506fae03718116d132d59c700d576,0,4,5,1,0,2,0,2,positive,False,False
60,W1_TOP2,1,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,3,0,1,0,7,0,0,0,neutral,False,False
60,W1_TOP2,3,2,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,a8be0aa879912f742c8b3af5e847ee39392330c70cad25971278615d36b10e9e,4,1,2,0,6,0,0,0,neutral,False,False
60,HYBRID_BASE,1,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,3,0,1,0,6,0,0,0,neutral,False,False
60,HYBRID_BASE,4,2,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,9036104c783e03f560833754fcf609da4886de59f588e5ccef6f04af379baf5d,2,1,2,0,7,0,0,0,neutral,False,False
61,W1_TOP2,1,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,2,0,1,0,2,0,0,0,neutral,False,False
61,W1_TOP2,4,2,ba4896ac379769ab17d99a5b79816329a96126f25e2cd797ab11607048f5f471,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,1,1,2,0,13,0,0,0,neutral,False,False
61,W1_TOP2,7,3,9a90c8eee18bf96f867afd5ab38ab34a41c138dad0eabd511d9d91f262cedf0b,2d2026c33806652bb4043900994638b2c145acbd1d630692695de60da10c9250,3,2,3,6,6,1,1,0,neutral,True,True
61,HYBRID_BASE,1,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,d5cc4ee5f392f9d4855c3e71b382be1adfd2753b6137219b46bef81980c8dd47,3,0,1,0,8,0,0,0,neutral,False,False
61,HYBRID_BASE,2,2,d5cc4ee5f392f9d4855c3e71b382be1adfd2753b6137219b46bef81980c8dd47,74a3a5736e774b407cdc4ef4e7498ebd8cb44256edef9e677cad567ddd4a8c97,4,1,2,0,8,0,0,0,neutral,False,False
61,HYBRID_BASE,4,3,74a3a5736e774b407cdc4ef4e7498ebd8cb44256edef9e677cad567ddd4a8c97,9ba602b7b1b018f661e4f7a2217a9ab5d09606ed0a105339348ddab3d5316a28,4,2,3,0,1,0,0,0,neutral,False,False
61,HYBRID_BASE,5,4,9ba602b7b1b018f661e4f7a2217a9ab5d09606ed0a105339348ddab3d5316a28,cede8c399178eb2b0e29b55c4dde829aa1fc924e3209269da617245623010045,2,3,4,9,7,1,4,-3,negative,True,True
