seed,arm,update_index,candidate_hash,target_member,candidate_stage,committed,train_target_gain,train_vote_gain_count,train_vote_loss_count,train_vote_net_gain,train_pivotal_loss_count,train_unique_loss_count,train_coverage_loss_count,assigned_residual_repair_count,validation_counterfactual_evaluated
59,W1_TOP2,0,6181f3aaf41b7ace5aac9a89359b07e00605473637d55543081503e911b1cf77,4,loss_blind_generic_revision,True,9,0,0,0,0,0,0,3,False
59,W1_TOP2,0,681fc79f92cc1fd37d9c899bb08f82c5ca9dad324d9b628b336ada9d73c7314e,4,loss_blind_generic_revision,False,5,0,0,0,0,0,0,3,False
59,W1_TOP2,0,8e39cfd1fb1fdd94c1ef52bafbc8d45d18e61d801c89203db5e53e172d5d1797,4,m20_source,False,1,0,0,0,0,0,0,3,False
59,W1_TOP2,0,bff7e9d9019b90e3360407899da1591db8b9eed285b16d40e4ad8562b26872bc,4,m20_source,False,5,0,0,0,0,0,0,3,False
59,W1_TOP2,1,153b7442a99983556593621ba1924853ab317439c8ce8105ee89cf9654f85dc6,2,loss_blind_generic_revision,False,1,0,0,0,0,0,0,4,False
59,W1_TOP2,1,2ae723adaf9ebf654c14b7c74fbb52dda76273ef72fe7e8929acde6ddb87e688,2,m20_source,True,4,0,0,0,0,0,0,3,False
59,W1_TOP2,1,bb2fabdc85ba310e1a8fce16f827a6b53433ba9bb9e4264b45bc8bd31ef264e9,0,loss_blind_generic_revision,False,3,0,0,0,0,0,0,3,False
59,HYBRID_BASE,1,9305aed5371f0478a803b57267d8db74a1a82b8f275fabda1b1a5cb6ed65d247,2,loss_blind_generic_revision,False,1,0,0,0,0,0,0,2,False
59,HYBRID_BASE,1,c2a4368552689850a78da5e20d667768b3ba94f9a187c1ff2bd6d34fa54112bc,2,m20_source,True,1,0,0,0,0,0,0,1,False
59,HYBRID_BASE,2,81c38118e1719cb6549374e398253c8ffc086b7c5419f771c80a1f89f557fd83,3,m20_source,False,3,0,0,0,0,0,0,2,False
59,HYBRID_BASE,2,9b54bc4a79f40aca6451e359be5ad843997f90d405af7556431ed29af14872d1,3,loss_blind_generic_revision,True,7,0,0,0,0,0,0,0,False
59,HYBRID_BASE,2,c17c4a8a53084cd15990e4f7ab14aa95e1f076a7be07a3b8c552ba43034708f3,3,m20_source,False,3,0,0,0,0,0,0,2,False
59,HYBRID_BASE,2,cd35d247dcefa82b56f88c262e88aee64a7244d08b24831efc59bf0dcd0aa655,3,loss_blind_generic_revision,False,3,0,0,0,0,0,0,2,False
59,HYBRID_BASE,3,18a6c0b0cd8332a2240ffd3a09fff4873785fa288aaf9339aa0a28bc5d57f58b,0,loss_blind_generic_revision,False,3,3,3,0,2,0,0,1,False
59,HYBRID_BASE,3,2b49202d10dfb6e653170e3225b5d8f8abf64e48974efef6e191717961f08e2e,0,loss_blind_generic_revision,True,6,4,2,2,1,0,0,1,False
59,HYBRID_BASE,3,625ae74cad68977ab75f3c4c4660ea77a9fdfe68836a5376cfb05e68559e9210,0,m20_source,False,4,4,3,1,2,0,0,1,False
59,HYBRID_BASE,3,fef81df4337d37aeef560b44ec3da7a7690f9a3003f16104a8513f131c00d6f5,0,m20_source,False,5,4,2,2,1,0,0,1,False
59,HYBRID_BASE,4,ebe43211a24197604fbf9128b02f8299fe0603138a1d5933b9fa8c5bd4816b2f,2,m20_source,True,2,0,0,0,0,0,0,0,False
59,HYBRID_BASE,5,0820779cb2fc313b17d795f35b3bf56f699d70e01b16c1536b8c2079f764c497,0,loss_blind_generic_revision,True,0,1,0,1,0,2,2,0,False
59,HYBRID_BASE,5,e79785ea22942ea9f140c1b2f32622703b9e8afec56eb86b70f755461319a671,0,loss_blind_generic_revision,False,2,0,0,0,0,1,1,0,False
60,W1_TOP2,1,1cc04164f084f4ada7e14208e5141144cc1a67c712e2343b8cac326bd648eb18,3,loss_blind_generic_revision,False,4,0,0,0,0,0,0,3,False
60,W1_TOP2,1,598cb6576fa931889bf462b239b3f3b82f894d325d8a40a6c91746ade1370424,3,loss_blind_generic_revision,True,7,0,0,0,0,0,0,3,False
60,W1_TOP2,3,36dd40d0f56bf17300ae0457a5cf3a949e9c7a34beb1188a8eda187996d9435f,4,loss_blind_generic_revision,True,6,0,0,0,0,0,0,2,False
60,W1_TOP2,3,540e8b9e35f5bec5ee69e976a4a1b4780dc4356c0d1783581c6424423ad92a88,4,m20_source,False,2,0,0,0,0,0,0,1,False
60,HYBRID_BASE,1,28a0314674d1f1711b5403ce6d05ff2744e7517339292c78390d191934d37566,3,loss_blind_generic_revision,False,1,0,0,0,0,0,0,3,False
60,HYBRID_BASE,1,3cdcfd6d18ba2b8c4bae0c7aa0bb4a2b4fbcf89dd9148516fc355173fd8470ce,3,loss_blind_generic_revision,True,6,0,0,0,0,0,0,2,False
60,HYBRID_BASE,4,69234030827b858a0bcb2046f96506777a4715f9a2239ce261ce4316f5f77930,2,loss_blind_generic_revision,True,7,0,0,0,0,0,0,2,False
61,W1_TOP2,1,6cb4da75cc8872c054fbe9be1aab97d3c8fa20d5f8b7f4edf1e982a8ef0de41c,2,m20_source,True,2,0,0,0,0,0,0,1,False
61,W1_TOP2,4,0416c0938aedc6a9eb9cd692bc18492bb11c77246c0b48abbf52c97e117034ef,1,m20_source,False,3,0,0,0,0,0,0,2,False
61,W1_TOP2,4,3d4b52161e838cdb92eda97db3fdd67e1cac8feffdfdd3f0ff952979435dee64,1,loss_blind_generic_revision,True,13,0,0,0,0,0,0,2,False
61,W1_TOP2,4,51e95a5574982aac566696c77c777dd6b5028eb1fbd1f829e614eb4fa9ab589f,1,m20_source,False,1,0,0,0,0,0,0,2,False
61,W1_TOP2,4,7fdec7313fc53e00588f370c88b55f2f490b747ff22d6d61c21a8382ffba4680,1,loss_blind_generic_revision,False,3,0,0,0,0,0,0,1,False
61,W1_TOP2,7,05312c9b2d4b143deb235db8a25b59c000339aa35716d5ed085d5c8dfc1e8fd3,3,loss_blind_generic_revision,False,8,5,0,5,0,0,0,2,False
61,W1_TOP2,7,1cb6488b120ef1b2596efade0d44cbe4a3c9b039cc065a28a0089cc122b06edd,3,loss_blind_generic_revision,False,1,6,2,4,2,0,0,2,False
61,W1_TOP2,7,923928caf8dce1636653e48093d8065463fa80e2a678c3d42a9b9af69eb511ed,3,m20_source,True,6,7,1,6,1,0,0,3,False
61,W1_TOP2,7,d3d03e4b01bca3a41b9e486ecb7bbf801c9cc0c648d10fcfd4068f7a9a0a6115,3,m20_source,False,5,6,1,5,1,0,0,2,False
61,HYBRID_BASE,1,1387c7245b5ed251f8d3d72da832b9ae3f9b29084497591a97c195a8885cc9e1,3,m20_source,False,4,0,0,0,0,0,0,2,False
61,HYBRID_BASE,1,31dc4577179fcfdd8eebe3a04f1d77a20ad94d59ebef7ac5f039b43bdb8c53ff,3,loss_blind_generic_revision,False,5,0,0,0,0,0,0,2,False
61,HYBRID_BASE,1,6231b3fd57a5b45bc920ac8ad7f9a2fbb6c870d6d22b5522e57c1a530d58e200,3,m20_source,False,4,0,0,0,0,0,0,2,False
61,HYBRID_BASE,1,b9c9e05be104483ea3b87603bac68fb890bfd36342977efd2e87dd068552d6ea,3,loss_blind_generic_revision,True,8,0,0,0,0,0,0,4,False
61,HYBRID_BASE,2,932ffc8081f9d1281fc32dabcabc64213a56844103e5ba55a2accdf1541bb2f4,4,loss_blind_generic_revision,True,8,0,0,0,0,0,0,3,False
61,HYBRID_BASE,2,937387bbf778a817909772d8c8fd86b9ea48bc1ca11d6d3a714960dd8aa86c03,4,loss_blind_generic_revision,False,3,0,0,0,0,0,0,2,False
61,HYBRID_BASE,4,a0d0d843a7ddc7331ecc964f11d8b78d9e0c77f0225e40868d32d45e71ac25e3,4,loss_blind_generic_revision,True,1,0,0,0,0,3,3,3,False
61,HYBRID_BASE,5,104082d98c1c0c2adfb8de39c2a8c0a34b4ad464fb035773c2db01b35ddbbfe7,2,m20_source,False,5,9,1,8,1,0,0,3,False
61,HYBRID_BASE,5,3bbbdb56804275899d2f7c391dd4bc9a91ad27522cd1fe3e2528b6a2088eb6fb,2,loss_blind_generic_revision,False,9,9,3,6,3,0,0,3,False
61,HYBRID_BASE,5,3e1e53492e487a7d861bcaa61801764cd5565e94d74db9cd76745aa0ec22ed7c,2,m20_source,True,7,10,1,9,1,0,0,3,False
