arm,signal,accepted_commit_count,flagged_commit_count,negative_net_commit_count,flagged_negative_net_count,flagged_validation_loss_bearing_count,negative_net_precision,negative_net_sensitivity,false_positive_count
W1_TOP2,train_vote_loss_positive,7,1,0,0,1,0.0,NA,1
W1_TOP2,train_pivotal_loss_positive,7,1,0,0,1,0.0,NA,1
W1_TOP2,train_unique_loss_positive,7,0,0,0,0,NA,NA,0
W1_TOP2,train_coverage_loss_positive,7,0,0,0,0,NA,NA,0
W1_TOP2,train_vote_gain_and_loss_cooccur,7,1,0,0,1,0.0,NA,1
W1_TOP2,train_soft_utility_negative,7,0,0,0,0,NA,NA,0
W1_TOP2,train_target_only_progress,7,6,0,0,0,0.0,NA,6
W1_TOP2,generic_revision_stage,7,4,0,0,0,0.0,NA,4
W1_TOP2,assigned_residual_repair_positive,7,7,0,0,1,0.0,NA,7
HYBRID_BASE,train_vote_loss_positive,11,2,2,2,2,1.0,1.0,0
HYBRID_BASE,train_pivotal_loss_positive,11,2,2,2,2,1.0,1.0,0
HYBRID_BASE,train_unique_loss_positive,11,2,2,0,0,0.0,0.0,2
HYBRID_BASE,train_coverage_loss_positive,11,2,2,0,0,0.0,0.0,2
HYBRID_BASE,train_vote_gain_and_loss_cooccur,11,2,2,2,2,1.0,1.0,0
HYBRID_BASE,train_soft_utility_negative,11,1,2,0,0,0.0,0.0,1
HYBRID_BASE,train_target_only_progress,11,8,2,0,0,0.0,0.0,8
HYBRID_BASE,generic_revision_stage,11,8,2,1,1,0.125,0.5,7
HYBRID_BASE,assigned_residual_repair_positive,11,8,2,2,2,0.25,1.0,6
