seed,arm,artifact_role,sha256
59,W1_TOP2,candidate_decisions.jsonl,5a9d5460f85e6fbe97fb92d5f9fa269735262b359cc80fe97fd9bd22d33e7782
59,W1_TOP2,dual_target_commit_decisions.jsonl,8e04085a380cad84ac433fb5cd041f680e5cc321820ae4a96304da8d0419e1e2
59,W1_TOP2,online_compatibility_repair_events.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
59,W1_TOP2,experimental_module2_context_diagnostics.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
59,W1_TOP2,online_run_summary.json,17a220922f8de13ec25b86c39586dce37dc5a4dd3f372494ae158bc22146c0f4
59,HYBRID_BASE,candidate_decisions.jsonl,30e8c203b79d62092d2fe50b7e52421960162fd774f467baf52f4e8bdb832cf1
59,HYBRID_BASE,dual_target_commit_decisions.jsonl,2a2fff0a901d92ea7393d1eb1949d36e0dac8da85f2c014e0bb614be1fb022f8
59,HYBRID_BASE,online_compatibility_repair_events.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
59,HYBRID_BASE,experimental_module2_context_diagnostics.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
59,HYBRID_BASE,online_run_summary.json,4b9352066f2b419c095caf77e132b6863cc40ede7167d9cefa98baa4ac76db73
60,W1_TOP2,candidate_decisions.jsonl,a6587b8eebe3710d26ed71637d906f5d95a39ce69d9a2f7cfe555f14bbf70028
60,W1_TOP2,dual_target_commit_decisions.jsonl,c71cc848183f8be9af405443084e1be52650646d5a2d2cb2f80827465b8c1491
60,W1_TOP2,online_compatibility_repair_events.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
60,W1_TOP2,experimental_module2_context_diagnostics.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
60,W1_TOP2,online_run_summary.json,451bbff4fa417bbffacd1192436e63181f2d53a8986dc4b2ba66a3290886c888
60,HYBRID_BASE,candidate_decisions.jsonl,2df591c39c9f9c006085dc0d68143d244460284adbf1764f6a1034397630356b
60,HYBRID_BASE,dual_target_commit_decisions.jsonl,1806404b7795a207456d1e8f1be60f40589e3fb8b82af8cc8c13d5a547d22684
60,HYBRID_BASE,online_compatibility_repair_events.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
60,HYBRID_BASE,experimental_module2_context_diagnostics.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
60,HYBRID_BASE,online_run_summary.json,a194fe03ef90f2a8ef4683d3c3cd7ee3d427ed6108242c4382fa5a4fdfa0c5b9
61,W1_TOP2,candidate_decisions.jsonl,20398dbaeedbffa8befe803ceb39a9da24e77d94bdef56f716ea63fb6e376ff0
61,W1_TOP2,dual_target_commit_decisions.jsonl,4cb22425459b0a603bd6965c21abc6e6fdb42b5725f6c0b181d42beb7db20303
61,W1_TOP2,online_compatibility_repair_events.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
61,W1_TOP2,experimental_module2_context_diagnostics.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
61,W1_TOP2,online_run_summary.json,41012e55df2dda43aff3f8d88be8fdfc3ab86ab7ef923cc9fd71edb5797f3fc2
61,HYBRID_BASE,candidate_decisions.jsonl,3866ffa6f6c1ab918683bb9c277808645f8ec63214b53e6c198792d1043ec0e6
61,HYBRID_BASE,dual_target_commit_decisions.jsonl,0ae0200cb2fe3bf5c0677a3a43e2275ae3feb91da6fd51dd27c81b06ac948ade
61,HYBRID_BASE,online_compatibility_repair_events.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
61,HYBRID_BASE,experimental_module2_context_diagnostics.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
61,HYBRID_BASE,online_run_summary.json,f5dd5f4071242e3661d9843c20460a1b1019a60f936d537e20e0b125fa1290e8
