seed,arm,split,vote,mean_member,ensemble_gain,oracle,gte1_count,gte3_count,G0,G1,G2,G3,G4,G5
76,STATIC_NO_TRAIN,shadow,0.54,0.54,0.0,0.54,27,27,23,0,0,0,0,27
76,STATIC_NO_TRAIN,validation,0.56,0.56,0.0,0.56,28,28,22,0,0,0,0,28
76,P0_SHADOW_D2_GENERIC,shadow,0.62,0.576,0.04400000000000004,0.9,45,31,5,11,3,10,8,13
76,P0_SHADOW_D2_GENERIC,validation,0.6,0.584,0.016000000000000014,0.84,42,30,8,7,5,8,5,17
76,P1_SHADOW_VOTE_ALIGNED_GENERIC,shadow,0.68,0.616,0.06400000000000006,0.98,49,34,1,8,7,15,8,11
76,P1_SHADOW_VOTE_ALIGNED_GENERIC,validation,0.66,0.58,0.08000000000000007,0.92,46,33,4,8,5,13,12,8
77,STATIC_NO_TRAIN,shadow,0.62,0.62,0.0,0.62,31,31,19,0,0,0,0,31
77,STATIC_NO_TRAIN,validation,0.56,0.56,0.0,0.56,28,28,22,0,0,0,0,28
77,P0_SHADOW_D2_GENERIC,shadow,0.88,0.776,0.10399999999999998,0.96,48,44,2,3,1,8,15,21
77,P0_SHADOW_D2_GENERIC,validation,0.68,0.608,0.07200000000000006,0.86,43,34,7,6,3,11,8,15
77,P1_SHADOW_VOTE_ALIGNED_GENERIC,shadow,0.8,0.724,0.07600000000000007,0.94,47,40,3,4,3,7,15,18
77,P1_SHADOW_VOTE_ALIGNED_GENERIC,validation,0.64,0.636,0.0040000000000000036,0.92,46,32,4,8,6,7,7,18
