setting,agent_id,correct,total,accuracy,vote_correct,vote_total,vote_accuracy
shared_div,0,71,100,0.71,72,100,0.72
shared_div,1,71,100,0.71,72,100,0.72
shared_div,2,75,100,0.75,72,100,0.72
shared_div,3,76,100,0.76,72,100,0.72
shared_div,4,74,100,0.74,72,100,0.72
bank_div,0,72,100,0.72,75,100,0.75
bank_div,1,70,100,0.7,75,100,0.75
bank_div,2,72,100,0.72,75,100,0.75
bank_div,3,76,100,0.76,75,100,0.75
bank_div,4,75,100,0.75,75,100,0.75
shared_baseline,0,76,100,0.76,77,100,0.77
shared_baseline,1,75,100,0.75,77,100,0.77
shared_baseline,2,72,100,0.72,77,100,0.77
shared_baseline,3,73,100,0.73,77,100,0.77
shared_baseline,4,75,100,0.75,77,100,0.77
bank_baseline,0,71,100,0.71,74,100,0.74
bank_baseline,1,74,100,0.74,74,100,0.74
bank_baseline,2,74,100,0.74,74,100,0.74
bank_baseline,3,74,100,0.74,74,100,0.74
bank_baseline,4,75,100,0.75,74,100,0.74
